
Gurobi 12.0.3 (win64) logging started Sun Aug 23 21:58:13 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_agosto\Costo_variable\Swap_restringido\Swap_variable_3estaciones_160kW_Descomp\station_2_d121_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26933 rows, 54733 columns and 250282 nonzeros
Model fingerprint: 0x52f2bee3
Variable types: 2129 continuous, 52604 integer (19481 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [8e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25547 rows and 45437 columns
Presolve time: 0.13s
Presolved: 1386 rows, 9296 columns, 31250 nonzeros
Variable types: 216 continuous, 9080 integer (8676 binary)
Root relaxation presolved: 1386 rows, 9296 columns, 31250 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.774099e+05, 4344 iterations, 0.06 seconds (0.08 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  4104  3572 290001.601  137   24 309503.268 290001.601  6.30%  47.7  215s
  4239  3707 290001.601  139   26 309503.268 290001.601  6.30%  47.4  220s
  4372  3840 290001.601  135   22 309503.268 290001.601  6.30%  46.8  225s
  4448  3916 290001.601  138   22 309503.268 290001.601  6.30%  46.6  230s
  4580  4048 290001.601  135   14 309503.268 290001.601  6.30%  46.4  235s
  4710  4178 290001.601  134   22 309503.268 290001.601  6.30%  46.0  240s
  4860  4328 290001.601  134   16 309503.268 290001.601  6.30%  45.4  245s
  4983  4451 290001.601  134   26 309503.268 290001.601  6.30%  45.1  250s
  5115  4583 290001.601  149   26 309503.268 290001.601  6.30%  44.9  255s
  5232  4700 290001.601  133   10 309503.268 290001.601  6.30%  44.8  260s
  5367  4835 290001.601  132   18 309503.268 290001.601  6.30%  44.6  266s
  5468  4936 290001.601  132   10 309503.268 290001.601  6.30%  44.3  270s
  5601  5069 290001.601  132   12 309503.268 290001.601  6.30%  44.1  275s
  5733  5201 290001.601  134   16 309503.268 290001.601  6.30%  44.0  280s
  5879  5347 290001.601  129   10 309503.268 290001.601  6.30%  43.9  285s
  6001  5469 290001.601  136   18 309503.268 290001.601  6.30%  44.0  290s
  6109  5577 290001.601  141   26 309503.268 290001.601  6.30%  44.0  295s
  6247  5715 290001.601  135   10 309503.268 290001.601  6.30%  43.5  300s
  6380  5848 290001.601  136   12 309503.268 290001.601  6.30%  43.3  305s
  6519  5987 290001.601  134   16 309503.268 290001.601  6.30%  43.4  310s
  6599  6067 290001.601  130   12 309503.268 290001.601  6.30%  43.2  315s
  6743  6211 290001.601  138   10 309503.268 290001.601  6.30%  42.9  320s
  6873  6341 290001.601  144   26 309503.268 290001.601  6.30%  42.7  325s
  7014  6482 290001.601  139   26 309503.268 290001.601  6.30%  42.5  330s
  7154  6622 290001.601  137   16 309503.268 290001.601  6.30%  42.3  335s
  7300  6768 290001.601  134   12 309503.268 290001.601  6.30%  42.1  340s
  7379  6847 290001.601  128   16 309503.268 290001.601  6.30%  42.1  345s
  7514  6982 290001.601  141   32 309503.268 290001.601  6.30%  41.9  350s
  7657  7125 290001.601  136   24 309503.268 290001.601  6.30%  41.6  355s
