
Gurobi 12.0.3 (win64) logging started Tue Sep  8 00:41:20 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_variable\Swap_restringido\Swap_variable_3estaciones_320kW_Descomp\station_2_d32_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26902 rows, 54733 columns and 249037 nonzeros
Model fingerprint: 0x05979cf1
Variable types: 2129 continuous, 52604 integer (19481 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [3e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25538 rows and 45427 columns
Presolve time: 0.17s
Presolved: 1364 rows, 9306 columns, 29293 nonzeros
Variable types: 216 continuous, 9090 integer (8776 binary)
Found heuristic solution: objective 616614.88775
Root relaxation presolved: 1364 rows, 9306 columns, 29293 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.010149e+05, 4215 iterations, 0.06 seconds (0.07 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  2833  2282 201754.647  114   25 327064.919 201754.647  38.3%  59.8  220s
  2937  2384 201754.647  159   12 327064.919 201754.647  38.3%  59.2  226s
  2973  2420 201754.647  176   14 327064.919 201754.647  38.3%  59.4  230s
  3109  2540 201754.647  198   12 327064.919 201754.647  38.3%  58.0  235s
  3244  2659 201754.647  231    8 327064.919 201754.647  38.3%  56.7  240s
H 3298  2707                    284591.71157 201754.647  29.1%  56.3  243s
  3309  2719 201754.647  233   18 284591.712 201754.647  29.1%  57.2  245s
  3434  2821 201754.647  183    8 284591.712 201754.647  29.1%  67.5  250s
  3518  2897 210614.472  179   87 284591.712 201754.647  29.1%  75.8  255s
  3616  2987 201754.647  221   20 284591.712 201754.647  29.1%  75.0  260s
  3677  3046 201754.647   53   19 284591.712 201754.647  29.1%  74.4  266s
  3730  3097 201754.647   97   21 284591.712 201754.647  29.1%  74.6  270s
  3811  3176 201754.647  106   26 284591.712 201754.647  29.1%  73.7  275s
  3895  3254 201754.647  147   31 284591.712 201754.647  29.1%  73.0  280s
  3973  3330 201754.647   66   36 284591.712 201754.647  29.1%  72.0  285s
  4041  3396 201754.647   99   33 284591.712 201754.647  29.1%  71.1  290s
  4108  3463 201754.647  133   28 284591.712 201754.647  29.1%  70.7  295s
  4172  3527 201754.647  165   18 284591.712 201754.647  29.1%  71.3  300s
  4215  3566 201754.647  186   33 284591.712 201754.647  29.1%  71.1  305s
  4296  3645 201754.647  123   22 284591.712 201754.647  29.1%  70.3  310s
  4373  3720 201754.647   85   23 284591.712 201754.647  29.1%  69.9  315s
  4456  3801 201754.647  126   17 284591.712 201754.647  29.1%  68.9  320s
  4541  3882 201754.647   97   20 284591.712 201754.647  29.1%  68.7  325s
