
Gurobi 12.0.3 (win64) logging started Sun Aug 23 23:23:50 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_agosto\Costo_variable\Swap_restringido\Swap_variable_3estaciones_320kW_Descomp\station_3_d32_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26872 rows, 53707 columns and 243987 nonzeros
Model fingerprint: 0x5a28b8a1
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [3e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25514 rows and 44922 columns
Presolve time: 0.15s
Presolved: 1358 rows, 8785 columns, 27985 nonzeros
Variable types: 216 continuous, 8569 integer (8164 binary)
Root relaxation presolved: 1358 rows, 8785 columns, 27985 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.283885e+05, 3820 iterations, 0.06 seconds (0.06 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  3821  3288 228959.441  131    7 311101.469 228959.441  26.4%  54.0  180s
  3955  3422 228959.441  120    7 311101.469 228959.441  26.4%  54.0  185s
  4098  3565 228959.441  116   10 311101.469 228959.441  26.4%  54.4  190s
  4269  3736 228959.441  123    7 311101.469 228959.441  26.4%  53.3  195s
  4412  3879 228959.441  128   23 311101.469 228959.441  26.4%  53.5  200s
  4531  3998 228959.441  127    7 311101.469 228959.441  26.4%  53.7  205s
  4692  4159 228959.441  112    7 311101.469 228959.441  26.4%  53.7  210s
  4874  4341 228959.441   89    7 311101.469 228959.441  26.4%  52.4  215s
  4909  4376 228959.441  101    7 311101.469 228959.441  26.4%  52.2  220s
  5019  4486 228959.441  109    9 311101.469 228959.441  26.4%  51.4  225s
  5181  4648 228959.441  111    9 311101.469 228959.441  26.4%  50.8  230s
  5350  4817 228959.441  124    9 311101.469 228959.441  26.4%  50.2  235s
  5527  4994 228959.441  125    7 311101.469 228959.441  26.4%  50.1  240s
  5687  5154 228959.441  106    7 311101.469 228959.441  26.4%  53.1  245s
  5850  5317 228959.441  105   13 311101.469 228959.441  26.4%  52.7  250s
  5979  5446 228959.441  129   20 311101.469 228959.441  26.4%  52.9  255s
  6137  5604 228959.441  104    7 311101.469 228959.441  26.4%  52.7  260s
  6306  5773 231145.080  120   68 311101.469 228959.441  26.4%  52.2  265s
  6474  5941 231160.432  122   68 311101.469 228959.441  26.4%  51.0  270s
  6663  6130 231347.434  123   68 311101.469 228959.441  26.4%  50.0  275s
  6834  6301 231063.044  123   68 311101.469 228959.441  26.4%  48.9  280s
  6987  6454 228959.441  112    7 311101.469 228959.441  26.4%  48.2  285s
  7148  6615 228959.441  121    7 311101.469 228959.441  26.4%  47.5  290s
  7311  6778 230756.782  120   68 311101.469 228959.441  26.4%  46.8  295s
  7484  6951 228959.441  115    7 311101.469 228959.441  26.4%  46.2  300s
  7639  7106 231159.173  122   68 311101.469 228959.441  26.4%  46.3  305s
  7801  7268 228959.441  122    7 311101.469 228959.441  26.4%  46.1  310s
  7923  7389 231333.188  118   68 311101.469 228959.441  26.4%  46.2  315s
  8075  7541 228959.441  104    7 311101.469 228959.441  26.4%  45.5  320s
  8230  7696 231287.637  121   68 311101.469 228959.441  26.4%  45.2  325s
  8396  7862 228959.441  117    7 311101.469 228959.441  26.4%  45.2  330s
  8560  8026 228959.441  117    7 311101.469 228959.441  26.4%  45.3  335s
  8716  8182 228959.441  123    7 311101.469 228959.441  26.4%  44.8  340s
  8863  8329 228959.441   95    7 311101.469 228959.441  26.4%  45.1  345s
  9066  8532 228959.441  105    7 311101.469 228959.441  26.4%  44.4  350s
  9214  8680 228959.441  117   19 311101.469 228959.441  26.4%  43.9  355s
  9399  8865 229048.109  122   68 311101.469 228959.441  26.4%  43.5  360s
  9590  9056 228959.441  130   22 311101.469 228959.441  26.4%  43.8  365s
  9765  9231 228959.441  126    7 311101.469 228959.441  26.4%  44.9  370s
  9952  9418 228959.441  119    9 311101.469 228959.441  26.4%  45.9  376s
 10092  9558 228959.441  125   13 311101.469 228959.441  26.4%  46.4  380s
 10275  9741 228959.441  127   15 311101.469 228959.441  26.4%  46.4  385s
 10458  9924 228959.441  132   18 311101.469 228959.441  26.4%  47.2  390s
 10605 10071 228959.441  126    7 311101.469 228959.441  26.4%  47.0  395s
 10783 10249 228959.441  120    7 311101.469 228959.441  26.4%  47.4  400s
 10964 10430 228959.441  127    7 311101.469 228959.441  26.4%  47.1  405s
 11140 10606 228959.441  131   25 311101.469 228959.441  26.4%  47.1  410s
 11290 10756 228959.441  131   22 311101.469 228959.441  26.4%  47.0  415s
 11455 10921 231366.874  130   68 311101.469 228959.441  26.4%  47.9  420s
 11631 11097 228959.441  123    7 311101.469 228959.441  26.4%  48.1  425s
 11776 11242 228959.441  118    7 311101.469 228959.441  26.4%  48.1  430s
 11959 11425 228959.441  117    9 311101.469 228959.441  26.4%  48.2  435s
 12144 11610 228959.441  121    7 311101.469 228959.441  26.4%  48.3  440s
 12336 11802 228959.441  122    9 311101.469 228959.441  26.4%  48.0  445s
 12442 11908 228959.441  128    5 311101.469 228959.441  26.4%  48.4  450s
 12618 12084 228959.441  120    7 311101.469 228959.441  26.4%  48.8  455s
 12807 12273 228959.441  122    7 311101.469 228959.441  26.4%  48.6  460s
 12987 12453 228959.441  129    7 311101.469 228959.441  26.4%  48.4  465s
 13178 12644 228959.441  105    7 311101.469 228959.441  26.4%  48.7  470s
 13373 12839 228959.441  117    7 311101.469 228959.441  26.4%  48.8  475s
 13566 13032 228959.441  113    7 311101.469 228959.441  26.4%  49.0  480s
 13762 13227 228959.441  118    9 311101.469 228959.441  26.4%  48.8  485s
 13961 13426 228959.441  110    7 311101.469 228959.441  26.4%  49.0  490s
 14020 13485 231984.897  115   68 311101.469 228959.441  26.4%  49.1  495s
 14057 13522 228959.441  116    7 311101.469 228959.441  26.4%  49.1  500s
 14093 13558 228959.441  123    9 311101.469 228959.441  26.4%  49.0  506s
 14119 13584 228959.441  112    7 311101.469 228959.441  26.4%  49.1  510s
 14159 13624 228959.441  116    7 311101.469 228959.441  26.4%  49.0  515s
 14348 13813 230796.171  113   68 311101.469 228959.441  26.4%  48.7  520s
 14523 13988 228959.441  102    7 311101.469 228959.441  26.4%  48.8  525s
 14717 14182 229257.616  121   68 311101.469 228959.441  26.4%  48.4  530s
 14845 14310 230946.472  122   68 311101.469 228959.441  26.4%  48.9  535s
 14998 14463 228959.441  126    5 311101.469 228959.441  26.4%  49.2  540s
 15191 14656 228959.441  122    7 311101.469 228959.441  26.4%  49.5  545s
 15368 14833 231092.589  126   68 311101.469 228959.441  26.4%  49.5  550s
 15546 15011 231209.284  126   68 311101.469 228959.441  26.4%  49.5  555s
 15694 15159 230747.431  130   68 311101.469 228959.441  26.4%  49.5  561s
 15799 15264 231092.589  126   68 311101.469 228959.441  26.4%  49.6  565s
 15987 15452 231095.253  124   68 311101.469 228959.441  26.4%  49.4  570s
 16172 15637 230787.105  126   68 311101.469 228959.441  26.4%  49.5  575s
 16351 15816 228959.441  121    7 311101.469 228959.441  26.4%  49.7  580s
 16543 16008 231080.497  126   68 311101.469 228959.441  26.4%  49.7  585s
 16722 16187 228959.441  124    7 311101.469 228959.441  26.4%  49.9  590s
 16903 16368 228959.441  123    7 311101.469 228959.441  26.4%  49.8  596s
 17039 16504 228959.441   94    7 311101.469 228959.441  26.4%  49.7  600s
 17245 16710 228959.441   97    7 311101.469 228959.441  26.4%  49.3  605s
 17463 16928 228959.441   98    7 311101.469 228959.441  26.4%  48.9  610s
 17673 17138 228959.441   88    9 311101.469 228959.441  26.4%  48.6  615s
 17832 17297 228959.441  104    7 311101.469 228959.441  26.4%  48.4  620s
 18033 17498 228959.441  112    7 311101.469 228959.441  26.4%  48.4  625s
