lhd,day,t,value
LH518B_12,1,164,0.606523473365448
LH518B_12,1,70,0.6046134464105802
LH518B_4,1,87,0.5880057906044807
LH518B_11,1,153,0.5859321729733319
LH518B_4,1,47,0.5659270575773538
LH518B_3,1,72,0.5647405578357323
LH518B_7,1,139,0.5574017909626215
LH518B_10,1,114,0.54663151582842
LH518B_12,1,158,0.5348723373997756
LH518B_4,1,128,0.5018754207910021
LH518B_9,1,12,0.4950351662339128
LH518B_12,1,148,0.47694342607131207
LH518B_4,1,133,0.47432104116751206
LH518B_1,1,100,0.45033975306602264
LH518B_5,1,97,0.44939056346529743
LH518B_2,1,58,0.4469886838282301
LH518B_9,1,70,0.4426571325765926
LH518B_5,1,29,0.43498105021921657
LH518B_10,1,104,0.42618769737317724
LH518B_10,1,112,0.42267984077466114
LH518B_9,1,143,0.41831306060574736
LH518B_9,1,40,0.4119546554449185
LH518B_2,1,88,0.4060632509573614
LH518B_3,1,73,0.40435762775409123
LH518B_7,1,23,0.40317151055772643
LH518B_11,1,117,0.4011355754253642
LH518B_1,1,37,0.39704908118130033
LH518B_10,1,45,0.3917295248247356
LH518B_9,1,132,0.38969563252862227
LH518B_12,1,15,0.38471823274601785
LH518B_10,1,87,0.37250548625904034
LH518B_9,1,102,0.37152686972886095
LH518B_6,1,144,0.36483960235549406
LH518B_2,1,28,0.34546716554226575
LH518B_1,1,22,0.3450840796633498
LH518B_8,1,127,0.34505731428554
LH518B_4,1,154,0.34343004681949224
LH518B_4,1,62,0.3422099008631509
LH518B_1,1,68,0.3419266725305761
LH518B_12,1,89,0.3350835998417377
LH518B_8,1,117,0.3269921603386867
LH518B_10,1,65,0.32289797383323476
LH518B_9,1,130,0.3225540643276068
LH518B_12,1,34,0.31953573238068517
LH518B_3,1,142,0.31770469749373464
LH518B_8,1,144,0.3128265336118301
LH518B_11,1,78,0.3124772390902716
LH518B_3,1,122,0.3111451649738669
LH518B_1,1,132,0.30616770220548045
LH518B_4,1,124,0.3048893847090812
LH518B_8,1,102,0.3035459527380891
LH518B_12,1,122,0.29837244715706573
LH518B_7,1,79,0.29501051902752273
LH518B_4,1,12,0.2947761404561924
LH518B_3,1,65,0.2932534764984276
LH518B_3,1,117,0.289768009622683
LH518B_1,1,92,0.2882092574845635
LH518B_2,1,82,0.28710218559829787
LH518B_5,1,149,0.28571353976586134
LH518B_2,1,52,0.2856231574162864
LH518B_1,1,163,0.2852109563793696
LH518B_9,1,129,0.27509163901472833
LH518B_7,1,87,0.27491499871112385
LH518B_4,1,108,0.2746505257269149
LH518B_4,1,35,0.27284193158245074
LH518B_11,1,127,0.2724702300643187
LH518B_11,1,139,0.2680733515836945
LH518B_1,1,138,0.26476516550518575
LH518B_9,1,74,0.26319207085956053
LH518B_7,1,92,0.26092052682350253
LH518B_8,1,122,0.25888967361913895
LH518B_4,1,53,0.25626631680338324
LH518B_9,1,82,0.24653543110881782
LH518B_1,1,127,0.2449274591132531
LH518B_7,1,123,0.2445892485159361
LH518B_1,1,29,0.24371362874769517
LH518B_1,1,144,0.24327737656286702
LH518B_4,1,57,0.24301211621284732
LH518B_4,1,67,0.24156029889071304
LH518B_12,1,144,0.24136506211920059
LH518B_2,1,119,0.240981775219783
LH518B_2,1,157,0.23819673579605832
LH518B_12,1,27,0.23776006931307733
LH518B_11,1,159,0.23573316860966748
LH518B_7,1,112,0.23504864607482825
LH518B_11,1,49,0.23433313399258346
LH518B_5,1,57,0.23258526997423376
LH518B_3,1,13,0.23126160388740516
LH518B_9,1,53,0.23121220250228655
LH518B_5,1,32,0.2273781143042743
LH518B_5,1,139,0.2263524804146991
LH518B_2,1,139,0.2237017108975599
LH518B_2,1,27,0.2215784150652812
LH518B_3,1,113,0.22077751565361897
LH518B_7,1,124,0.22030786342184522
LH518B_9,1,112,0.2108074408878159
LH518B_11,1,161,0.20863078155093773
LH518B_2,1,103,0.20275095055259051
LH518B_6,1,72,0.19902099134022422
LH518B_10,1,24,0.19857532722369
LH518B_6,1,17,0.19772229909625166
LH518B_3,1,42,0.19708346313007788
LH518B_11,1,108,0.1925708555448299
LH518B_1,1,78,0.1911301126079753
LH518B_10,1,47,0.1850513146283722
LH518B_7,1,22,0.18073273789432412
LH518B_5,1,33,0.18017951007349303
LH518B_12,1,37,0.17966523899649842
LH518B_10,1,62,0.177323890968606
LH518B_9,1,13,0.17641108322121446
LH518B_3,1,63,0.17613498133579028
LH518B_12,1,92,0.1739874093152286
LH518B_1,1,33,0.17112944961395937
LH518B_2,1,148,0.17090178842460862
LH518B_6,1,139,0.169639492907655
LH518B_8,1,83,0.16572651968194327
LH518B_11,1,48,0.16563044274542085
LH518B_4,1,134,0.1644590597777268
LH518B_8,1,67,0.16404408824914726
LH518B_10,1,99,0.16223216458147255
LH518B_9,1,63,0.16190117678334193
LH518B_3,1,114,0.1605961333253583
LH518B_9,1,123,0.15568135625572413
LH518B_3,1,104,0.14974285472034268
LH518B_9,1,39,0.1486855432627661
LH518B_3,1,143,0.1452766667399404
LH518B_3,1,147,0.1449399311432435
LH518B_2,1,137,0.14394628019192957
LH518B_3,1,98,0.14195373628250307
LH518B_5,1,60,0.14105800031712135
LH518B_10,1,22,0.13976004028638203
LH518B_2,1,162,0.13828320417299714
LH518B_3,1,77,0.1375011581233789
LH518B_1,1,30,0.13481919133303302
LH518B_7,1,78,0.13272949398273337
LH518B_3,1,84,0.1307731850784573
LH518B_8,1,107,0.12947155428737744
LH518B_10,1,157,0.12652598755410074
LH518B_1,1,107,0.12496573609044685
LH518B_3,1,48,0.12491054438195874
LH518B_10,1,115,0.12383254121283248
LH518B_2,1,17,0.12356030122536063
LH518B_2,1,118,0.12274822322758656
LH518B_9,1,42,0.12162115057285448
LH518B_2,1,153,0.12073450314670242
LH518B_3,1,9,0.11861642515566029
LH518B_11,1,67,0.11847643148022151
LH518B_4,1,99,0.11545914013316724
LH518B_8,1,99,0.11532964972224068
LH518B_10,1,50,0.11522772824833202
LH518B_2,1,125,0.11386815817232832
LH518B_4,1,44,0.11365139884360567
LH518B_5,1,48,0.1125048500430303
LH518B_5,1,50,0.1071038983557635
LH518B_4,1,25,0.10519404789052422
LH518B_5,1,63,0.10247688703112467
LH518B_9,1,30,0.10150877215311738
LH518B_10,1,64,0.09958913318957593
LH518B_11,1,124,0.09940273008163122
LH518B_1,1,95,0.09899605724194967
LH518B_10,1,20,0.09731554730511105
LH518B_10,1,128,0.09661145500839659
LH518B_12,1,113,0.0964846795949111
LH518B_9,1,80,0.09633945518116219
LH518B_11,1,57,0.09453592124408741
LH518B_1,1,23,0.09290668111482914
LH518B_3,1,159,0.09242535852779954
LH518B_2,1,83,0.09189824110922995
LH518B_7,1,25,0.09104563178294356
LH518B_3,1,20,0.08921759121855183
LH518B_12,1,35,0.0887786741030632
LH518B_1,1,89,0.08668122395130905
LH518B_10,1,52,0.08529647741449597
LH518B_4,1,140,0.08522165313075297
LH518B_1,1,80,0.08440706133631937
LH518B_5,1,69,0.07901656995147105
LH518B_11,1,17,0.07897851488032544
LH518B_3,1,49,0.07821901820564361
LH518B_7,1,42,0.07681005452141867
LH518B_1,1,70,0.075760802717083
LH518B_1,1,85,0.07472480525928914
LH518B_6,1,34,0.07022460154968069
LH518B_7,1,159,0.06978935844366796
LH518B_6,1,44,0.06740512281492371
LH518B_4,1,18,0.06729007072470575
LH518B_5,1,129,0.06506721333288479
LH518B_7,1,113,0.06405146502916988
LH518B_4,1,152,0.0634671446275188
LH518B_7,1,82,0.06288629950566471
LH518B_8,1,74,0.06253995390815481
LH518B_9,1,72,0.06211365880146123
LH518B_3,1,129,0.061669741502657596
LH518B_2,1,15,0.06165151469062202
LH518B_3,1,158,0.060896024777933086
LH518B_3,1,35,0.06013087644285255
LH518B_8,1,84,0.05781527767687185
LH518B_8,1,103,0.05734725453363388
LH518B_2,1,55,0.056503323011033876
LH518B_6,1,162,0.0562136719045438
LH518B_10,1,118,0.05600189906635809
LH518B_2,1,84,0.05323031181220727
LH518B_12,1,10,0.052078635618489924
LH518B_11,1,23,0.05191279215086875
LH518B_6,1,77,0.0506605757079651
LH518B_8,1,19,0.04926917444230325
LH518B_5,1,49,0.048532726640171386
LH518B_2,1,106,0.04613500727677333
LH518B_7,1,89,0.04532188524020786
LH518B_9,1,120,0.04235575681229139
LH518B_1,1,10,0.04153233519068841
LH518B_11,1,105,0.04124813887786119
LH518B_8,1,24,0.04043689823884309
LH518B_5,1,27,0.03910638896255034
LH518B_9,1,54,0.03881416372716226
LH518B_11,1,77,0.038456200958817105
LH518B_12,1,14,0.03774499682089378
LH518B_12,1,60,0.03599888642973363
LH518B_3,1,69,0.035476835153991026
LH518B_7,1,118,0.034821706491655044
LH518B_10,1,150,0.034183819006030916
LH518B_12,1,79,0.03049846160177838
LH518B_8,1,115,0.02933582098984329
LH518B_9,1,75,0.027908462844515668
LH518B_12,1,85,0.025780479989896257
LH518B_1,1,19,0.02427801965924707
LH518B_4,1,74,0.02387410266875252
LH518B_10,1,58,0.020804264001641877
LH518B_11,1,125,0.019773854457446914
LH518B_2,1,123,0.019600311955506055
LH518B_4,1,79,0.015990013629089167
LH518B_6,1,37,0.015541876947965147
LH518B_8,1,109,0.015408281139250975
LH518B_2,1,112,0.015193698702568578
LH518B_12,1,100,0.013876732959217132
LH518B_8,1,58,0.01288382593584362
LH518B_3,1,14,0.008987784993508142
LH518B_1,1,40,0.008432095658853028
LH518B_9,1,84,0.007082122016735012
LH518B_3,1,97,0.006774360656028013
LH518B_8,1,153,0.006680402909112121
LH518B_4,1,38,0.006068708767062905
LH518B_1,1,120,0.005874699374829734
LH518B_2,1,64,0.005161073525915244
LH518B_7,1,95,0.004456402934435423
LH518B_12,1,149,0.001575079274635488
LH518B_12,1,119,0.0004629743121696839
