
Gurobi 12.0.3 (win64) logging started Tue Sep  8 02:26:41 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_variable\Swap_restringido\Swap_variable_3estaciones_640kW_Descomp\station_3_d91_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26902 rows, 53707 columns and 243349 nonzeros
Model fingerprint: 0x1644e451
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 6e+02]
  Objective range  [1e-02, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25331 rows and 44777 columns
Presolve time: 0.17s
Presolved: 1571 rows, 8930 columns, 27505 nonzeros
Variable types: 216 continuous, 8714 integer (8258 binary)
Root relaxation presolved: 1571 rows, 8930 columns, 27505 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.340902e+05, 4588 iterations, 0.06 seconds (0.07 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  3721  3188 234662.804  151   19 310501.606 234662.804  24.4%   166  245s
  3776  3243 234662.804  158   17 310501.606 234662.804  24.4%   164  251s
  3850  3317 234662.804  162   19 310501.606 234662.804  24.4%   162  255s
  3937  3404 234662.804  165   21 310501.606 234662.804  24.4%   159  260s
  4045  3512 234662.804  160   17 310501.606 234662.804  24.4%   156  265s
  4126  3593 234662.804  163   19 310501.606 234662.804  24.4%   154  270s
  4199  3666 234662.804  164   19 310501.606 234662.804  24.4%   153  275s
H 4208  3673                    310501.60531 234662.804  24.4%   152  277s
  4258  3725 234662.804  171   17 310501.605 234662.804  24.4%   152  280s
  4356  3823 234662.804  164   17 310501.605 234662.804  24.4%   151  285s
  4450  3917 234662.804  164   21 310501.605 234662.804  24.4%   149  290s
  4556  4023 234662.804  175   41 310501.605 234662.804  24.4%   148  295s
  4612  4079 234662.804  181   41 310501.605 234662.804  24.4%   147  300s
  4720  4187 234662.804  164   42 310501.605 234662.804  24.4%   146  305s
  4801  4268 234662.804  164   17 310501.605 234662.804  24.4%   144  310s
  4897  4364 234662.804  164   19 310501.605 234662.804  24.4%   143  315s
  4983  4450 234662.804  154   19 310501.605 234662.804  24.4%   141  320s
  5071  4538 234662.804  162   19 310501.605 234662.804  24.4%   140  325s
  5179  4646 234662.804  163   17 310501.605 234662.804  24.4%   139  330s
  5241  4708 234662.804  169   17 310501.605 234662.804  24.4%   137  335s
  5348  4815 234662.804  166   48 310501.605 234662.804  24.4%   136  340s
  5435  4902 234662.804  166   27 310501.605 234662.804  24.4%   134  345s
  5476  4943 234662.804  164   19 310501.605 234662.804  24.4%   133  350s
  5581  5048 234662.804  162   29 310501.605 234662.804  24.4%   132  355s
  5692  5159 234662.804  164   27 310501.605 234662.804  24.4%   130  360s
  5827  5294 234662.804  162   17 310501.605 234662.804  24.4%   129  365s
  5899  5366 234662.804  158   27 310501.605 234662.804  24.4%   128  370s
  6018  5485 234662.804  162   19 310501.605 234662.804  24.4%   126  375s
  6168  5635 234662.804  168   19 310501.605 234662.804  24.4%   125  380s
  6295  5762 234662.804  173   19 310501.605 234662.804  24.4%   124  385s
  6416  5883 234662.804  194   23 310501.605 234662.804  24.4%   123  390s
  6555  6022 234662.804  190   19 310501.605 234662.804  24.4%   122  395s
H 6667  6132                    310188.05022 234662.804  24.3%   122  399s
  6667  6134 234662.804  178   49 310188.050 234662.804  24.3%   122  400s
  6801  6268 234662.804  171   19 310188.050 234662.804  24.3%   121  405s
  6888  6355 234662.804  184   19 310188.050 234662.804  24.3%   121  410s
  7025  6492 234662.804  191   36 310188.050 234662.804  24.3%   120  416s
  7118  6585 234662.804  171   19 310188.050 234662.804  24.3%   120  420s
  7265  6732 234662.804  169   27 310188.050 234662.804  24.3%   119  425s
  7376  6843 234662.804  169   27 310188.050 234662.804  24.3%   118  430s
  7538  7005 234662.804  179   17 310188.050 234662.804  24.3%   117  436s
  7618  7085 234662.804  172   19 310188.050 234662.804  24.3%   117  440s
  7704  7171 234662.804  182   19 310188.050 234662.804  24.3%   117  445s
  7859  7326 234662.804  176   52 310188.050 234662.804  24.3%   117  450s
  7936  7403 234662.804  189   51 310188.050 234662.804  24.3%   116  455s
  8121  7588 234662.804  164   41 310188.050 234662.804  24.3%   115  460s
  8270  7737 234662.804  174   19 310188.050 234662.804  24.3%   114  465s
  8392  7859 234662.804  183   44 310188.050 234662.804  24.3%   114  470s
  8527  7994 234662.804  185   19 310188.050 234662.804  24.3%   114  476s
  8648  8115 234662.804  176   19 310188.050 234662.804  24.3%   113  480s
  8763  8230 234662.804  170   45 310188.050 234662.804  24.3%   113  485s
  8890  8357 234662.804  164   19 310188.050 234662.804  24.3%   112  490s
  9025  8492 234662.804  160   17 310188.050 234662.804  24.3%   111  495s
  9196  8663 234662.804  163   24 310188.050 234662.804  24.3%   110  500s
  9364  8831 234662.804  160   17 310188.050 234662.804  24.3%   109  505s
  9421  8888 234662.804  163   19 310188.050 234662.804  24.3%   109  510s
  9542  9009 234662.804  160   19 310188.050 234662.804  24.3%   108  515s
  9716  9183 234662.804  164   17 310188.050 234662.804  24.3%   107  520s
  9856  9323 234662.804  161   17 310188.050 234662.804  24.3%   106  525s
 10027  9494 234662.804  161   17 310188.050 234662.804  24.3%   106  530s
 10187  9654 234662.804  167   17 310188.050 234662.804  24.3%   105  535s
 10315  9782 234662.804  168   17 310188.050 234662.804  24.3%   104  540s
 10458  9925 234662.804  177   19 310188.050 234662.804  24.3%   104  546s
 10531  9998 234662.804  192   21 310188.050 234662.804  24.3%   104  550s
 10677 10144 234662.804  188   19 310188.050 234662.804  24.3%   104  555s
 10816 10283 234662.804  188   56 310188.050 234662.804  24.3%   103  560s
 10985 10452 234662.804  181   19 310188.050 234662.804  24.3%   103  565s
 11143 10610 234662.804  181   19 310188.050 234662.804  24.3%   103  570s
 11197 10664 234662.804  182   56 310188.050 234662.804  24.3%   103  575s
 11351 10818 234662.804  167   19 310188.050 234662.804  24.3%   103  580s
 11508 10975 234662.804  196   19 310188.050 234662.804  24.3%   102  585s
 11664 11131 234662.804  203   42 310188.050 234662.804  24.3%   102  590s
 11825 11292 234662.804  171   27 310188.050 234662.804  24.3%   101  595s
 11987 11454 234662.804  187   24 310188.050 234662.804  24.3%   101  600s
H11988 11453                    310188.05006 234662.804  24.3%   101  600s
 12081 11548 234662.804  197   21 310188.050 234662.804  24.3%   100  605s
 12268 11735 234662.804  187   24 310188.050 234662.804  24.3%   100  610s
 12406 11873 234662.804  185   55 310188.050 234662.804  24.3%   100  615s
H12492 11957                    236547.37512 234662.804  0.80%   100  617s

Cutting planes:
  Gomory: 20
  Lift-and-project: 1
  MIR: 1
  Flow cover: 13
  RLT: 3
  Relax-and-lift: 2

Explored 12493 nodes (1265639 simplex iterations) in 617.67 seconds (1377.77 work units)
Thread count was 1 (of 32 available processors)

Solution count 10: 236547 310188 310188 ... 311334

Optimal solution found (tolerance 5.00e-02)
Best objective 2.365473751174e+05, best bound 2.346628037057e+05, gap 0.7967%
