
Gurobi 12.0.3 (win64) logging started Mon Sep  7 22:44:16 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_fijo\Swap_restringido\Swap_fixed_3estaciones_640kW_Descomp\station_1_d182_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26902 rows, 53707 columns and 243347 nonzeros
Model fingerprint: 0xfcc31229
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 6e+02]
  Objective range  [4e-01, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25331 rows and 44775 columns
Presolve time: 0.17s
Presolved: 1571 rows, 8932 columns, 27513 nonzeros
Variable types: 216 continuous, 8716 integer (8260 binary)
Root relaxation presolved: 1571 rows, 8932 columns, 27513 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.350968e+05, 4133 iterations, 0.06 seconds (0.06 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  5097  4542 235163.444  101   11 313520.768 235163.444  25.0%  67.1  255s
  5240  4685 235163.444   97   11 313520.768 235163.444  25.0%  66.2  260s
  5390  4835 235163.444   94   11 313520.768 235163.444  25.0%  65.4  265s
  5548  4993 235163.444   98   11 313520.768 235163.444  25.0%  64.4  270s
  5651  5096 235163.444  113   11 313520.768 235163.444  25.0%  63.9  275s
  5809  5254 235163.444  130   39 313520.768 235163.444  25.0%  63.5  280s
  5925  5370 235163.444   91   11 313520.768 235163.444  25.0%  63.0  285s
  6090  5535 235163.444   95   11 313520.768 235163.444  25.0%  62.8  290s
  6236  5681 235163.444   98   11 313520.768 235163.444  25.0%  62.1  295s
  6363  5807 235163.444  112   47 313520.768 235163.444  25.0%  61.8  300s
  6443  5887 235163.444   75   41 313520.768 235163.444  25.0%  65.6  305s
  6515  5959 235163.444   88   40 313520.768 235163.444  25.0%  68.9  311s
  6605  6049 235163.444   98   44 313520.768 235163.444  25.0%  72.8  315s
  6715  6159 235163.444   94   49 313520.768 235163.444  25.0%  77.6  320s
  6824  6268 235163.444   99   36 313520.768 235163.444  25.0%  81.9  325s
  6894  6338 235163.444  103   37 313520.768 235163.444  25.0%  84.6  330s
  6998  6442 235163.444   99   58 313520.768 235163.444  25.0%  88.5  335s
  7105  6549 235163.444  101   43 313520.768 235163.444  25.0%  92.6  340s
  7167  6611 235163.444  107   58 313520.768 235163.444  25.0%  94.8  345s
  7277  6721 235163.444   87   53 313520.768 235163.444  25.0%  98.6  350s
  7360  6804 235163.444   92   44 313520.768 235163.444  25.0%   101  355s
  7469  6913 235163.444   93   43 313520.768 235163.444  25.0%   105  360s
  7572  7016 235163.444   89   52 313520.768 235163.444  25.0%   108  365s
