
Gurobi 10.0.0 (win64) logging started Wed Jul 29 21:41:54 2026

Set parameter LogFile to value "output\Taller_DET_Agosto\Swap_maxproduction_27ktpd\station_1_d244_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (win64)

CPU model: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 4 physical cores, 8 logical processors, using up to 1 threads

Optimize a model with 33882 rows, 80359 columns and 367272 nonzeros
Model fingerprint: 0x99088d6b
Variable types: 4395 continuous, 75964 integer (42841 binary)
Coefficient statistics:
  Matrix range     [1e+00, 4e+02]
  Objective range  [4e-01, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 3e+04]
Presolve removed 31413 rows and 58687 columns
Presolve time: 2.49s
Presolved: 2469 rows, 21672 columns, 70662 nonzeros
Variable types: 413 continuous, 21259 integer (20741 binary)
Root relaxation presolve removed 1 rows and 0 columns
Root relaxation presolved: 2468 rows, 21673 columns, 70661 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 4.679076e+05, 8710 iterations, 0.84 seconds (0.17 work units)
Total elapsed time = 5.83s

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

   576   548 546040.203   30   65 632845.563 546040.203  13.7%   282  400s
   578   550 546040.203   30   62 632845.563 546040.203  13.7%   281  410s
   591   558 546040.203   33   62 632845.563 546040.203  13.7%   275  428s
   596   562 546040.203   33   60 632845.563 546040.203  13.7%   273  430s
   610   571 546040.203   39   53 632845.563 546040.203  13.7%   269  435s
   625   581 546040.203   41   59 632845.563 546040.203  13.7%   266  440s
   639   589 546040.203   47   58 632845.563 546040.203  13.7%   265  453s
   646   592 546040.203   48   75 632845.563 546040.203  13.7%   266  455s
   661   602 555227.246   35  120 632845.563 546040.203  13.7%   263  460s
   678   612 546387.031   35   72 632845.563 546040.203  13.7%   262  465s
   688   619 546040.203   35   86 632845.563 546040.203  13.7%   262  486s
   700   627 546040.203   39   63 632845.563 546040.203  13.7%   258  490s
   717   638 555227.246   35  114 632845.563 546040.203  13.7%   255  495s
   731   647 546040.203   35   83 632845.563 546040.203  13.7%   255  500s
   745   655 546040.203   35   77 632845.563 546040.203  13.7%   252  505s
   755   662 555227.246   35  118 632845.563 546040.203  13.7%   253  510s
   768   669 546040.203   37   83 632845.563 546040.203  13.7%   249  519s
   771   671 546040.203   27   68 632845.563 546040.203  13.7%   248  520s
   785   679 546040.203   29   78 632845.563 546040.203  13.7%   244  552s
   794   685 546040.203   41   81 632845.563 546040.203  13.7%   244  555s
   807   692 546040.203   38   86 632845.563 546040.203  13.7%   244  560s
   821   702 546040.203   23   95 632845.563 546040.203  13.7%   241  565s
   834   710 546387.031   36   80 632845.563 546040.203  13.7%   239  570s
   846   718 546040.203   21   82 632845.563 546040.203  13.7%   236  575s
   859   727 546040.203   33   87 632845.563 546040.203  13.7%   233  580s
   868   733 553474.922   30  139 632845.563 546040.203  13.7%   232  585s
   879   740 553474.922   31  148 632845.563 546040.203  13.7%   231  590s
   895   751 546040.203   31  114 632845.563 546040.203  13.7%   229  595s
   908   760 546040.203   20   95 632845.563 546040.203  13.7%   227  605s
   923   768 546040.203   31   89 632845.563 546040.203  13.7%   225  610s
   946   782 557064.655   32  138 632845.563 546040.203  13.7%   221  615s
   966   793 546040.203   26   75 632845.563 546040.203  13.7%   218  620s
   979   802 546040.203   27   74 632845.563 546040.203  13.7%   217  637s
   992   810 546040.203   28   87 632845.563 546040.203  13.7%   215  640s
  1010   820 546040.203   36   81 632845.563 546040.203  13.7%   213  646s
  1021   827 546040.203   32   96 632845.563 546040.203  13.7%   211  650s
  1039   837 553474.922   33  129 632845.563 546040.203  13.7%   210  655s
  1059   850 553474.922   34  163 632845.563 546040.203  13.7%   207  660s
  1070   858 546040.203   27  101 632845.563 546040.203  13.7%   205  665s
  1079   864 546040.203   32   93 632845.563 546040.203  13.7%   205  670s
  1091   872 546040.203   33   99 632845.563 546040.203  13.7%   204  675s
  1107   882 546040.203   33  101 632845.563 546040.203  13.7%   203  680s
  1111   885 546040.203   35  103 632845.563 546040.203  13.7%   202  689s
  1112   886 546040.203   32  113 632845.563 546040.203  13.7%   203  690s
  1122   892 546040.203   27   93 632845.563 546040.203  13.7%   203  708s
  1129   897 546040.203   28  120 632845.563 546040.203  13.7%   202  710s
  1133   900 546040.203   29  116 632845.563 546040.203  13.7%   202  721s
  1148   910 546040.203   32   96 632845.563 546040.203  13.7%   200  725s
  1171   925 553474.922   33  151 632845.563 546040.203  13.7%   199  730s
  1198   943 546040.203   34   83 632845.563 546040.203  13.7%   196  735s
  1212   952 546040.203   29  108 632845.563 546040.203  13.7%   195  746s
  1226   961 546040.203   29  104 632845.563 546040.203  13.7%   193  750s
  1251   977 546040.203   33  121 632845.563 546040.203  13.7%   192  755s
  1271   991 546040.203   36  110 632845.563 546040.203  13.7%   191  760s
  1293  1005 546040.203   32  100 632845.563 546040.203  13.7%   189  765s
  1313  1019 555227.273   34  144 632845.563 546040.203  13.7%   187  773s
  1321  1024 546040.203   26  118 632845.563 546040.203  13.7%   186  775s
  1330  1030 546040.203   31  137 632845.563 546040.203  13.7%   186  782s
  1348  1042 546040.203   34  101 632845.563 546040.203  13.7%   184  785s
  1376  1061 546040.203   35  133 632845.563 546040.203  13.7%   182  790s
  1384  1066 546040.203   34  134 632845.563 546040.203  13.7%   181  799s
  1387  1068 546040.203   35  133 632845.563 546040.203  13.7%   180  800s
  1410  1083 546387.031   40  137 632845.563 546040.203  13.7%   179  805s
  1414  1086 546040.203   35  112 632845.563 546040.203  13.7%   179  812s
  1427  1095 546040.203   32  128 632845.563 546040.203  13.7%   177  815s
  1434  1099 546040.203   33  117 632845.563 546040.203  13.7%   177  822s
  1450  1110 546040.203   30  140 632845.563 546040.203  13.7%   175  825s
  1472  1124 546387.031   38  106 632845.563 546040.203  13.7%   174  830s
  1486  1133 546040.203   35  122 632845.563 546040.203  13.7%   173  846s
  1500  1140 546040.203   38  139 632845.563 546040.203  13.7%   172  850s
  1514  1150 546040.203   32  137 632845.563 546040.203  13.7%   172  861s
  1515  1150 555227.273   32  134 632845.563 546040.203  13.7%   172  868s
  1522  1155 546040.203   34  166 632845.563 546040.203  13.7%   171  870s
  1538  1166 546040.203   29  109 632845.563 546040.203  13.7%   171  875s
  1562  1182 546040.203   33  115 632845.563 546040.203  13.7%   170  880s
  1582  1195 546040.203   28  128 632845.563 546040.203  13.7%   169  885s
  1590  1199 546040.203   25  116 632845.563 546040.203  13.7%   170  918s
  1594  1202 546040.203   28  124 632845.563 546040.203  13.7%   170  920s
  1610  1213 546040.203   29  140 632845.563 546040.203  13.7%   169  925s
  1616  1217 546040.203   30  154 632845.563 546040.203  13.7%   169  935s
  1618  1218 546040.203   30  145 632845.563 546040.203  13.7%   169  943s
  1623  1221 546040.203   31  118 632845.563 546040.203  13.7%   169  945s
  1642  1234 555227.246   34  143 632845.563 546040.203  13.7%   169  950s
  1663  1248 546040.203   36  110 632845.563 546040.203  13.7%   167  955s
  1683  1261 546040.203   35  140 632845.563 546040.203  13.7%   166  960s
  1699  1272 546040.203   34  144 632845.563 546040.203  13.7%   167  965s
  1717  1284 546040.203   35  137 632845.563 546040.203  13.7%   166  977s
  1730  1293 555227.246   33  148 632845.563 546040.203  13.7%   165  980s
  1754  1309 546040.203   34  134 632845.563 546040.203  13.7%   164  985s
  1775  1323 546040.203   36  109 632845.563 546040.203  13.7%   165  990s
  1796  1336 546040.231   35   97 632845.563 546040.231  13.7%   164  995s
  1816  1349 546040.231   39  106 632845.563 546040.231  13.7%   163 1000s
  1818  1350 546348.494   38  105 632845.563 546348.494  13.7%   163 1008s
  1824  1353 546348.494   34   65 632845.563 546348.494  13.7%   165 1010s
  1840  1363 546387.031   35   49 632845.563 546348.494  13.7%   166 1015s
  1858  1375 546348.494   38   66 632845.563 546348.494  13.7%   165 1020s
  1870  1382 546387.031   41   51 632845.563 546387.031  13.7%   167 1025s
  1879  1388 546387.031   44   47 632845.563 546387.031  13.7%   168 1030s
  1889  1395 546387.031   39   39 632845.563 546387.031  13.7%   170 1035s
  1894  1398 546387.031   41   43 632845.563 546387.031  13.7%   169 1049s
  1896  1399 546387.031   42   33 632845.563 546387.031  13.7%   169 1050s
  1907  1407 546387.031   43   49 632845.563 546387.031  13.7%   169 1055s
  1916  1413 546387.031   45   81 632845.563 546387.031  13.7%   170 1060s
  1919  1415 546387.031   45   42 632845.563 546387.031  13.7%   170 1069s
  1920  1415 546387.031   45   52 632845.563 546387.031  13.7%   170 1070s
  1921  1416 546387.031   46   32 632845.563 546387.031  13.7%   170 1077s
  1927  1420 546387.031   47   70 632845.563 546387.031  13.7%   170 1080s
  1935  1425 546387.031   50   64 632845.563 546387.031  13.7%   170 1085s
  1945  1432 546387.031   49   79 632845.563 546387.031  13.7%   170 1090s
  1955  1439 546387.031   51   64 632845.563 546387.031  13.7%   170 1095s
  1966  1446 546387.031   53   36 632845.563 546387.031  13.7%   170 1100s
  1974  1451 546387.031   56   44 632845.563 546387.031  13.7%   170 1105s
  1975  1452 546387.031   56   33 632845.563 546387.031  13.7%   170 1145s
  1982  1457 546387.031   59   58 632845.563 546387.031  13.7%   170 1150s
  1992  1463 546387.031   64   26 632845.563 546387.031  13.7%   170 1155s
  2000  1469 546387.031   65   26 632845.563 546387.031  13.7%   170 1160s
  2008  1474 546387.031   64   34 632845.563 546387.031  13.7%   170 1165s
  2019  1481 546387.031   61   28 632845.563 546387.031  13.7%   169 1170s
  2029  1488 546387.031   70   24 632845.563 546387.031  13.7%   169 1175s
  2039  1495 546387.031   63   26 632845.563 546387.031  13.7%   168 1180s
  2050  1502 546387.031   73   26 632845.563 546387.031  13.7%   167 1185s
  2056  1506 546387.031   67   28 632845.563 546387.031  13.7%   167 1197s
  2061  1510 546387.031   75   51 632845.563 546387.031  13.7%   167 1201s
  2066  1515 546387.031   69   26 632845.563 546387.031  13.7%   167 1205s
  2076  1525 546387.031   73   55 632845.563 546387.031  13.7%   167 1210s
  2085  1534 546387.031   74   28 632845.563 546387.031  13.7%   167 1215s
  2094  1543 546387.031   77   36 632845.563 546387.031  13.7%   166 1220s
  2104  1553 546387.031   80   26 632845.563 546387.031  13.7%   166 1225s
  2114  1563 546387.031   81   41 632845.563 546387.031  13.7%   166 1230s
  2122  1571 546387.031   81   29 632845.563 546387.031  13.7%   166 1235s
  2133  1582 546387.031   85   28 632845.563 546387.031  13.7%   166 1240s
  2142  1591 546387.031   83   56 632845.563 546387.031  13.7%   166 1245s
  2150  1599 546387.031   83   30 632845.563 546387.031  13.7%   166 1250s
  2157  1606 546387.031   87   27 632845.563 546387.031  13.7%   166 1264s
  2159  1608 546387.031   84   31 632845.563 546387.031  13.7%   166 1265s
  2170  1619 546387.031   86   25 632845.563 546387.031  13.7%   166 1270s
  2176  1625 546387.031   87   41 632845.563 546387.031  13.7%   166 2799s
  2178  1627 546387.031   88   21 632845.563 546387.031  13.7%   166 2800s
  2184  1633 546387.031   85   27 632845.563 546387.031  13.7%   166 2829s
  2186  1635 546387.031   87   25 632845.563 546387.031  13.7%   166 2830s
  2195  1644 546387.031   88   34 632845.563 546387.031  13.7%   168 2835s
  2207  1656 546387.031   87   26 632845.563 546387.031  13.7%   168 2840s
  2221  1670 546387.031   90   27 632845.563 546387.031  13.7%   167 2845s
  2233  1682 546387.031   93   59 632845.563 546387.031  13.7%   167 2850s
  2245  1694 546387.031   94   27 632845.563 546387.031  13.7%   167 2855s
  2257  1706 546387.031   96   29 632845.563 546387.031  13.7%   167 2860s
  2258  1707 546387.031   96   23 632845.563 546387.031  13.7%   167 2866s
  2267  1716 546387.031   98   27 632845.563 546387.031  13.7%   166 2870s
  2277  1726 546387.031  101   56 632845.563 546387.031  13.7%   167 2875s
  2289  1738 546387.031  104   31 632845.563 546387.031  13.7%   166 2880s
  2300  1749 546387.031  108   25 632845.563 546387.031  13.7%   166 2885s
  2314  1763 546387.031  104   60 632845.563 546387.031  13.7%   165 2890s
  2327  1776 546387.031  113   25 632845.563 546387.031  13.7%   165 2895s
  2340  1789 546387.031  117   31 632845.563 546387.031  13.7%   164 2900s
  2351  1800 546387.031  121   23 632845.563 546387.031  13.7%   164 2905s
  2359  1808 546387.031  123   23 632845.563 546387.031  13.7%   164 2914s
  2360  1809 546387.031  123   23 632845.563 546387.031  13.7%   164 2915s
  2370  1819 546387.031  125   27 632845.563 546387.031  13.7%   163 2920s
  2382  1831 546387.031  128   27 632845.563 546387.031  13.7%   163 2925s
  2395  1844 546387.031  133   27 632845.563 546387.031  13.7%   162 2930s
  2407  1856 546387.031  132   27 632845.563 546387.031  13.7%   163 2935s
  2420  1869 546387.031  135   27 632845.563 546387.031  13.7%   163 2940s
  2432  1881 546387.031  141   26 632845.563 546387.031  13.7%   164 2945s
  2443  1892 546387.031  133   27 632845.563 546387.031  13.7%   163 2950s
  2457  1906 546387.031  137   31 632845.563 546387.031  13.7%   163 2955s
  2460  1909 546387.031  137   23 632845.563 546387.031  13.7%   163 2963s
  2464  1913 546387.031  139   31 632845.563 546387.031  13.7%   162 2965s
  2477  1926 546387.031  142   35 632845.563 546387.031  13.7%   162 2970s
  2491  1940 546387.031  148   23 632845.563 546387.031  13.7%   161 2975s
  2504  1953 546387.031  152   23 632845.563 546387.031  13.7%   161 2980s
  2518  1967 546387.031  157   25 632845.563 546387.031  13.7%   160 2985s
  2532  1981 546387.031  156   25 632845.563 546387.031  13.7%   160 2990s
  2547  1996 546387.031  163   23 632845.563 546387.031  13.7%   159 2995s
  2561  2010 546387.031  167   25 632845.563 546387.031  13.7%   159 3007s
  2569  2018 546387.031  170   23 632845.563 546387.031  13.7%   158 3010s
  2583  2032 546387.031  173   23 632845.563 546387.031  13.7%   158 3015s
  2596  2045 546387.031  175   29 632845.563 546387.031  13.7%   158 3020s
  2609  2058 546387.031  176   23 632845.563 546387.031  13.7%   159 3025s
  2623  2072 546387.031  175   29 632845.563 546387.031  13.7%   158 3030s
  2635  2084 546387.031  179   25 632845.563 546387.031  13.7%   160 3035s
  2645  2094 546387.031  180   22 632845.563 546387.031  13.7%   163 3040s
  2654  2103 546387.031  182   46 632845.563 546387.031  13.7%   165 3045s
  2662  2111 546387.031  178   29 632845.563 546387.031  13.7%   167 3056s
  2672  2121 546387.031  178   39 632845.563 546387.031  13.7%   167 3060s
  2687  2136 546387.031  165   25 632845.563 546387.031  13.7%   166 3065s
  2703  2152 546387.031  169   23 632845.563 546387.031  13.7%   166 3070s
  2717  2166 546387.031  171   45 632845.563 546387.031  13.7%   166 3075s
  2733  2182 546387.031  174   46 632845.563 546387.031  13.7%   165 3080s
  2748  2197 546387.031  175   23 632845.563 546387.031  13.7%   165 3085s
  2763  2212 546387.031  174   25 632845.563 546387.031  13.7%   165 3095s
  2778  2227 546387.031  173   23 632845.563 546387.031  13.7%   164 3100s
  2792  2241 546387.031  175   23 632845.563 546387.031  13.7%   164 3105s
  2806  2255 546387.031  176   24 632845.563 546387.031  13.7%   164 3110s
  2819  2268 546387.031  178   31 632845.563 546387.031  13.7%   164 3115s
  2830  2279 546387.031  170   23 632845.563 546387.031  13.7%   167 3120s
  2845  2294 546387.031  168   23 632845.563 546387.031  13.7%   166 3125s
  2861  2310 546387.031  171   23 632845.563 546387.031  13.7%   166 3130s
  2864  2313 546387.031  171   27 632845.563 546387.031  13.7%   166 3137s
  2871  2320 546387.031  172   25 632845.563 546387.031  13.7%   166 3140s
  2886  2335 546387.031  173   44 632845.563 546387.031  13.7%   165 3145s
  2895  2344 546387.031  174   45 632845.563 546387.031  13.7%   165 3158s
  2901  2350 546387.031  172   23 632845.563 546387.031  13.7%   165 3160s
  2917  2366 546387.031  172   23 632845.563 546387.031  13.7%   165 3165s
  2930  2379 546387.031  168   23 632845.563 546387.031  13.7%   165 3170s
  2944  2393 546387.031  173   23 632845.563 546387.031  13.7%   165 3175s
  2958  2407 546387.031  168   23 632845.563 546387.031  13.7%   164 3210s
  2965  2414 546387.031  165   23 632845.563 546387.031  13.7%   164 3222s
