
Gurobi 12.0.3 (win64) logging started Sun Sep  6 21:34:35 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_variable\Swap_restringido\Swap_variable_3estaciones_160kW_Descomp\station_3_d91_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26902 rows, 53707 columns and 245230 nonzeros
Model fingerprint: 0x3859cb56
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [1e-02, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25510 rows and 44910 columns
Presolve time: 0.15s
Presolved: 1392 rows, 8797 columns, 29333 nonzeros
Variable types: 216 continuous, 8581 integer (8164 binary)
Root relaxation presolved: 1392 rows, 8797 columns, 29333 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.534958e+05, 4270 iterations, 0.09 seconds (0.08 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  4793  4263 265059.185   73   12 284579.270 265059.185  6.86%  32.6  210s
  4934  4404 265059.185   76   12 284579.270 265059.185  6.86%  32.0  215s
  5096  4566 265059.185   68   16 284579.270 265059.185  6.86%  31.3  220s
  5257  4727 265059.185   87   18 284579.270 265059.185  6.86%  30.8  225s
  5378  4848 265059.185   83   14 284579.270 265059.185  6.86%  30.5  230s
  5525  4995 265059.185   90   12 284579.270 265059.185  6.86%  30.2  235s
  5674  5144 265059.185   85   12 284579.270 265059.185  6.86%  29.8  240s
  5822  5292 265059.185   85   14 284579.270 265059.185  6.86%  29.5  245s
  5916  5386 265059.185   94   12 284579.270 265059.185  6.86%  29.3  250s
  6076  5546 265059.185   98   12 284579.270 265059.185  6.86%  29.0  255s
  6227  5697 265059.185   89   12 284579.270 265059.185  6.86%  28.7  260s
  6393  5863 265059.185   90   14 284579.270 265059.185  6.86%  28.4  265s
  6489  5959 265059.185   92   12 284579.270 265059.185  6.86%  28.2  270s
  6661  6131 265059.185   90   14 284579.270 265059.185  6.86%  28.0  275s
  6821  6291 265059.185   90   12 284579.270 265059.185  6.86%  27.8  280s
  6967  6437 265059.185   84   14 284579.270 265059.185  6.86%  27.6  285s
  7123  6593 265059.185   93   12 284579.270 265059.185  6.86%  27.3  290s
  7297  6767 265059.185   92   16 284579.270 265059.185  6.86%  27.1  295s
  7404  6874 265059.185   84   12 284579.270 265059.185  6.86%  27.0  300s
  7566  7036 265059.185   91   12 284579.270 265059.185  6.86%  26.8  305s
  7715  7185 265059.185   94   14 284579.270 265059.185  6.86%  26.8  310s
  7873  7343 265059.185   89   18 284579.270 265059.185  6.86%  26.7  315s
  7998  7468 265059.185  101   12 284579.270 265059.185  6.86%  26.6  320s
  8151  7621 265059.185   92   14 284579.270 265059.185  6.86%  26.6  325s
  8325  7795 265059.185   90   12 284579.270 265059.185  6.86%  26.4  330s
  8487  7957 265059.185   90   16 284579.270 265059.185  6.86%  26.3  335s
  8608  8078 265059.185   85   12 284579.270 265059.185  6.86%  26.2  340s
  8776  8246 265059.185   83   14 284579.270 265059.185  6.86%  26.1  345s
  8927  8397 265059.185   71   14 284579.270 265059.185  6.86%  25.8  350s
  9089  8559 265059.185   87   12 284579.270 265059.185  6.86%  25.6  355s
  9214  8684 265059.185   77   14 284579.270 265059.185  6.86%  25.3  360s
  9376  8846 265059.185   77   12 284579.270 265059.185  6.86%  25.1  365s
  9521  8991 265059.185   78   12 284579.270 265059.185  6.86%  25.0  370s
  9697  9167 265059.185   92   14 284579.270 265059.185  6.86%  24.8  375s
  9823  9293 265059.185  105   18 284579.270 265059.185  6.86%  24.8  380s
  9979  9449 265059.185  106   14 284579.270 265059.185  6.86%  24.7  385s
 10142  9612 265059.185  108   22 284579.270 265059.185  6.86%  24.6  390s
 10304  9774 265059.185  105   12 284579.270 265059.185  6.86%  24.6  395s
 10305  9775 265059.185  105   12 284579.270 265059.185  6.86%  24.6  402s
 10381  9851 265059.185  106   14 284579.270 265059.185  6.86%  24.6  405s
 10548 10018 265059.185   99   12 284579.270 265059.185  6.86%  24.6  410s
 10733 10203 265059.185   97   20 284579.270 265059.185  6.86%  24.6  415s
 10879 10349 265059.185   96   12 284579.270 265059.185  6.86%  24.5  420s
 11025 10495 265059.185  106   14 284579.270 265059.185  6.86%  24.4  425s
 11184 10654 265059.185  103   14 284579.270 265059.185  6.86%  24.4  430s
 11350 10820 265059.185   97   12 284579.270 265059.185  6.86%  24.3  435s
 11521 10991 265059.185   93   12 284579.270 265059.185  6.86%  24.3  440s
 11689 11159 265059.185   96   14 284579.270 265059.185  6.86%  24.2  445s
 11829 11299 265059.185   92   12 284579.270 265059.185  6.86%  24.1  450s
 11999 11469 265059.185   89   14 284579.270 265059.185  6.86%  24.1  455s
 12162 11632 265059.185  107   22 284579.270 265059.185  6.86%  24.1  460s
 12331 11801 265059.185  105   12 284579.270 265059.185  6.86%  24.0  465s
 12511 11981 265059.185  108   18 284579.270 265059.185  6.86%  23.9  470s
 12662 12132 265059.185   96   16 284579.270 265059.185  6.86%  23.9  475s
 12687 12157 265059.185  100   12 284579.270 265059.185  6.86%  23.9  480s
 12703 12173 265059.185  102   14 284579.270 265059.185  6.86%  23.9  485s
 12720 12190 265059.185  104   12 284579.270 265059.185  6.86%  23.9  490s
 12815 12285 265059.185  110   14 284579.270 265059.185  6.86%  23.9  495s
 12914 12384 265059.185  107   12 284579.270 265059.185  6.86%  23.9  500s
 12980 12450 265059.185  106   20 284579.270 265059.185  6.86%  23.9  505s
 13103 12573 265059.185  114   22 284579.270 265059.185  6.86%  23.8  510s
 13220 12690 265059.185  107   12 284579.270 265059.185  6.86%  23.8  515s
 13342 12812 265059.185  110   14 284579.270 265059.185  6.86%  23.8  521s
 13429 12899 265059.185  108   16 284579.270 265059.185  6.86%  23.8  525s
 13567 13037 265059.185  101   12 284579.270 265059.185  6.86%  23.8  530s
 13680 13150 265059.185  109   12 284579.270 265059.185  6.86%  23.7  535s
 13773 13243 265059.185  112   12 284579.270 265059.185  6.86%  23.7  540s
 13917 13387 265059.185  108   14 284579.270 265059.185  6.86%  23.7  545s
 14009 13479 265059.185  110   16 284579.270 265059.185  6.86%  23.7  550s
 14162 13632 265059.185  102   12 284579.270 265059.185  6.86%  23.6  555s
 14263 13733 265059.185   98   12 284579.270 265059.185  6.86%  23.6  560s
 14404 13874 265059.185  111   12 284579.270 265059.185  6.86%  23.6  565s
 14527 13997 265059.185  108   12 284579.270 265059.185  6.86%  23.6  570s
 14612 14082 265059.185  110   12 284579.270 265059.185  6.86%  23.6  575s
 14736 14206 265059.185  110   16 284579.270 265059.185  6.86%  23.5  580s
 14843 14313 265059.185  108   12 284579.270 265059.185  6.86%  23.5  585s
 14975 14445 265059.185  110   14 284579.270 265059.185  6.86%  23.5  590s
 15056 14526 265059.185  106   16 284579.270 265059.185  6.86%  23.5  595s
