
Gurobi 12.0.3 (win64) logging started Mon Aug 24 00:05:13 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_agosto\Costo_variable\Swap_libre\Swap_variable_3estaciones_320kW_Descomp\station_1_d244_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26359 rows, 53707 columns and 243503 nonzeros
Model fingerprint: 0xfb08deb8
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [8e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 23413 rows and 43752 columns
Presolve time: 0.15s
Presolved: 2946 rows, 9955 columns, 32491 nonzeros
Variable types: 824 continuous, 9131 integer (8474 binary)
Root relaxation presolved: 2946 rows, 9955 columns, 32491 nonzeros


Root relaxation: objective 2.230296e+05, 16339 iterations, 1.69 seconds (2.66 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  2577  2044 223932.474  165   20 261497.732 223932.474  14.4%   148  260s
H 2644  2109                    261482.91969 223932.474  14.4%   145  265s
H 2695  2160                    261414.95419 223932.474  14.3%   143  268s
  2718  2185 223932.474   88   24 261414.954 223932.474  14.3%   142  270s
  2813  2280 223932.474  103   24 261414.954 223932.474  14.3%   139  275s
  2909  2376 223932.474  114   14 261414.954 223932.474  14.3%   136  280s
H 2992  2457                    261400.14221 223932.474  14.3%   134  284s
  2992  2459 223932.474  119   14 261400.142 223932.474  14.3%   134  285s
  3040  2507 223932.474  124   14 261400.142 223932.474  14.3%   133  290s
  3109  2576 223932.474  138   14 261400.142 223932.474  14.3%   131  295s
  3182  2649 223932.474  148   14 261400.142 223932.474  14.3%   130  302s
  3213  2680 223932.474  152   18 261400.142 223932.474  14.3%   129  305s
  3315  2782 223932.474  167   18 261400.142 223932.474  14.3%   127  310s
  3370  2837 223932.474  176   14 261400.142 223932.474  14.3%   126  315s
  3466  2933 223932.474  151   14 261400.142 223932.474  14.3%   124  320s
  3532  2999 223932.474  204   14 261400.142 223932.474  14.3%   123  325s
  3586  3053 223932.474  212   16 261400.142 223932.474  14.3%   122  330s
  3661  3128 223932.474  228   16 261400.142 223932.474  14.3%   121  335s
  3734  3201 223932.474  139   14 261400.142 223932.474  14.3%   120  340s
  3783  3250 223932.474  146   16 261400.142 223932.474  14.3%   119  345s
  3818  3285 223932.474  254   16 261400.142 223932.474  14.3%   118  350s
  3910  3377 223932.474  266   14 261400.142 223932.474  14.3%   117  357s
  3956  3423 223932.474  140   26 261400.142 223932.474  14.3%   116  360s
  4041  3508 223932.474  161   14 261400.142 223932.474  14.3%   115  365s
  4099  3566 223932.474  314   14 261400.142 223932.474  14.3%   114  370s
  4161  3628 223932.474  325   14 261400.142 223932.474  14.3%   114  375s
  4234  3701 223932.474  337   24 261400.142 223932.474  14.3%   113  380s
  4316  3783 223932.474  128   24 261400.142 223932.474  14.3%   112  385s
  4407  3874 223932.474  375   14 261400.142 223932.474  14.3%   111  390s
  4477  3944 223932.474  384   22 261400.142 223932.474  14.3%   110  395s
  4558  4025 223932.474  156   14 261400.142 223932.474  14.3%   109  400s
  4633  4100 223932.474  166   14 261400.142 223932.474  14.3%   109  405s
  4693  4160 223932.474   92   24 261400.142 223932.474  14.3%   108  411s
  4747  4214 223932.474  162   14 261400.142 223932.474  14.3%   107  415s
  4828  4295 223932.474  159   14 261400.142 223932.474  14.3%   106  420s
  4875  4342 223932.474  153   18 261400.142 223932.474  14.3%   105  425s
  4944  4411 223932.474  164   14 261400.142 223932.474  14.3%   105  432s
  5000  4467 223932.474  170   22 261400.142 223932.474  14.3%   104  435s
  5098  4565 223932.474  180   24 261400.142 223932.474  14.3%   103  440s
  5200  4667 223932.474  195   14 261400.142 223932.474  14.3%   102  445s
  5264  4731 223932.474  201   14 261400.142 223932.474  14.3%   102  450s
  5342  4809 223932.474  207   28 261400.142 223932.474  14.3%   101  455s
  5395  4862 223932.474  208   22 261400.142 223932.474  14.3%   100  460s
  5485  4952 223932.474  219   16 261400.142 223932.474  14.3%   100  465s
  5554  5021 223932.474  208   14 261400.142 223932.474  14.3%  99.3  470s
  5622  5089 223932.474  214   14 261400.142 223932.474  14.3%  98.8  475s
  5681  5148 223932.474  239   14 261400.142 223932.474  14.3%  98.3  480s
  5794  5261 223932.474  213   24 261400.142 223932.474  14.3%  97.6  485s
  5891  5358 223932.474  222   14 261400.142 223932.474  14.3%  97.0  490s
  5979  5446 223932.474  278   14 261400.142 223932.474  14.3%  96.4  495s
  6065  5532 223932.474  288   14 261400.142 223932.474  14.3%  95.8  500s
  6120  5587 223932.474  292   14 261400.142 223932.474  14.3%  95.5  505s
  6263  5730 223932.474  314   18 261400.142 223932.474  14.3%  94.7  510s
  6346  5813 223932.474  270   22 261400.142 223932.474  14.3%  94.3  515s
  6471  5938 223932.474  291   14 261400.142 223932.474  14.3%  93.6  520s
  6572  6039 223932.474  302   22 261400.142 223932.474  14.3%  93.6  525s
H 6629  6094                    260565.39940 223932.474  14.1%  93.5  528s
  6629  6096 223932.474  311   14 260565.399 223932.474  14.1%  93.5  532s
  6674  6141 223932.474  317   24 260565.399 223932.474  14.1%  93.4  535s
  6755  6222 223932.474  324   22 260565.399 223932.474  14.1%  93.3  540s
  6855  6322 223932.474  351   14 260565.399 223932.474  14.1%  92.9  545s
  6974  6441 223932.474  365   14 260565.399 223932.474  14.1%  92.3  550s
  7103  6570 223932.474  377   14 260565.399 223932.474  14.1%  91.7  555s
  7235  6702 223932.474  385   14 260565.399 223932.474  14.1%  91.2  560s
  7362  6829 223932.474  401   24 260565.399 223932.474  14.1%  90.7  565s
H 7449  6914                    260550.58741 223932.474  14.1%  90.4  568s
  7474  6941 223932.474  411   14 260550.587 223932.474  14.1%  90.4  570s
  7611  7078 223932.474  437   20 260550.587 223932.474  14.1%  90.0  575s
  7666  7133 223932.474  442   16 260550.587 223932.474  14.1%  90.0  580s
  7800  7267 223932.474  466   14 260550.587 223932.474  14.1%  89.7  585s
  7936  7403 223932.474  482   20 260550.587 223932.474  14.1%  89.0  590s
  8070  7537 223932.474  495   14 260550.587 223932.474  14.1%  88.4  595s
  8178  7645 223932.474  507   22 260550.587 223932.474  14.1%  87.9  600s
  8286  7753 223932.474  512   14 260550.587 223932.474  14.1%  87.4  605s
  8420  7887 223932.474  437   20 260550.587 223932.474  14.1%  86.9  610s
  8460  7927 223932.474  320   14 260550.587 223932.474  14.1%  86.9  615s
  8561  8028 223932.474  330   24 260550.587 223932.474  14.1%  87.0  620s
  8676  8143 223932.474  336   14 260550.587 223932.474  14.1%  87.0  625s
  8789  8256 223932.474  329   14 260550.587 223932.474  14.1%  86.6  630s
  8930  8397 223932.474  216   14 260550.587 223932.474  14.1%  85.7  635s
  9042  8509 223932.474  115   14 260550.587 223932.474  14.1%  84.9  640s
  9175  8642 223932.474  116   14 260550.587 223932.474  14.1%  84.3  645s
  9314  8781 223932.474  134   14 260550.587 223932.474  14.1%  83.9  650s
  9454  8921 223932.474  185   14 260550.587 223932.474  14.1%  83.5  655s
H 9509  8974                    224532.79318 223932.474  0.27%  83.4  660s

Cutting planes:
  Gomory: 2
  Lift-and-project: 8
  Mixing: 1
  Flow cover: 6
  RLT: 1

Explored 9510 nodes (827248 simplex iterations) in 660.72 seconds (1163.81 work units)
Thread count was 1 (of 32 available processors)

Solution count 10: 224533 260551 260565 ... 262362

Optimal solution found (tolerance 5.00e-02)
Best objective 2.245327931839e+05, best bound 2.239324735776e+05, gap 0.2674%
