
Gurobi 12.0.3 (win64) logging started Tue Sep  8 03:52:04 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_482\Costo_variable\Swap_restringido\Swap_variable_3estaciones_160kW_Descomp\station_2_d244_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26932 rows, 54733 columns and 251095 nonzeros
Model fingerprint: 0x67cbb77c
Variable types: 2129 continuous, 52604 integer (19481 binary)
Coefficient statistics:
  Matrix range     [1e+00, 4e+02]
  Objective range  [8e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25549 rows and 45426 columns
Presolve time: 0.19s
Presolved: 1383 rows, 9307 columns, 30359 nonzeros
Variable types: 216 continuous, 9091 integer (8776 binary)
Root relaxation presolved: 1383 rows, 9307 columns, 30359 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.547812e+05, 4150 iterations, 0.07 seconds (0.07 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  6081   678 266001.996   50   31 283621.709 266001.996  6.21%   119  270s
  6167   758 266001.996   77   35 283621.709 266001.996  6.21%   122  275s
  6244   835 266001.996   94   32 283621.709 266001.996  6.21%   121  280s
  6288   879 266001.996   97   31 283621.709 266001.996  6.21%   120  285s
  6360   951 266001.996  105   35 283621.709 266001.996  6.21%   119  290s
  6417  1008 266001.996  111   35 283621.709 266001.996  6.21%   119  297s
  6471  1062 266001.996   94   25 283621.709 266001.996  6.21%   118  300s
  6532  1123 266001.996   83   21 283621.709 266001.996  6.21%   118  305s
  6618  1209 266001.996   84   23 283621.709 266001.996  6.21%   117  310s
  6687  1278 266001.996   90   22 283621.709 266001.996  6.21%   116  315s
  6741  1332 266001.996   98   26 283621.709 266001.996  6.21%   116  320s
  6829  1420 266001.996  113   23 283621.709 266001.996  6.21%   115  325s
  6891  1482 266001.996  112   27 283621.709 266001.996  6.21%   114  330s
  6957  1548 266001.996  120   23 283621.709 266001.996  6.21%   114  335s
  7011  1602 266001.996  126   25 283621.709 266001.996  6.21%   113  342s
  7034  1621 266001.996  127   25 283621.709 266001.996  6.21%   113  345s
  7104  1683 266001.996  135   27 283621.709 266001.996  6.21%   112  350s
  7185  1762 266001.996  143   25 283621.709 266001.996  6.21%   111  355s
  7282  1857 266001.996  164   25 283621.709 266001.996  6.21%   110  360s
  7332  1905 266001.996  172   25 283621.709 266001.996  6.21%   110  365s
  7438  2006 272834.493  179   87 283621.709 266001.996  6.21%   112  370s
  7498  2066 266001.996  171   23 283621.709 266001.996  6.21%   114  376s
  7574  2136 266001.996  133   23 283621.709 266001.996  6.21%   114  380s
  7639  2199 266001.996  126   25 283621.709 266001.996  6.21%   114  385s
  7685  2245 266001.996  120   37 283621.709 266001.996  6.21%   114  391s
  7725  2283 266001.996  104   37 283621.709 266001.996  6.21%   115  395s
  7779  2335 266001.996   92   21 283621.709 266001.996  6.21%   115  400s
  7818  2371 266001.996   84   53 283621.709 266001.996  6.21%   116  405s
  7845  2396 266001.996   95   21 283621.709 266001.996  6.21%   117  410s
  7905  2443 266001.996   85   51 283621.709 266001.996  6.21%   120  415s
  7980  2499 271199.420   97  106 283621.709 266001.996  6.21%   125  420s
  8038  2547 270959.325   88   97 283621.709 266001.996  6.21%   127  425s
  8116  2604 266001.996  122   23 283621.709 266001.996  6.21%   132  430s
  8163  2636 270989.974   87   85 283621.709 266001.996  6.21%   134  435s
  8227  2680 266001.996  119   38 283621.709 266001.996  6.21%   138  441s
  8292  2721 266001.996  128   23 283621.709 266001.996  6.21%   141  445s
  8360  2770 266001.996  130   27 283621.709 266001.996  6.21%   143  450s
  8363  2772 271165.904   94  105 283621.709 266001.996  6.21%   144  457s
  8403  2806 266001.996   92   23 283621.709 266001.996  6.21%   145  460s
  8457  2860 266001.996   93   37 283621.709 266001.996  6.21%   148  465s
  8497  2900 266001.996   95   23 283621.709 266001.996  6.21%   149  470s
  8551  2954 266001.996  118   25 283621.709 266001.996  6.21%   152  476s
  8605  3006 266001.996  116   36 283621.709 266001.996  6.21%   154  480s
  8659  3060 266001.996  192   20 283621.709 266001.996  6.21%   154  485s
  8713  3114 266001.996  192   27 283621.709 266001.996  6.21%   153  490s
  8768  3169 266001.996  206   20 283621.709 266001.996  6.21%   152  495s
  8834  3235 266001.996  206   16 283621.709 266001.996  6.21%   151  500s
  8876  3277 266001.996  210   16 283621.709 266001.996  6.21%   151  505s
  8929  3330 266001.996  211   21 283621.709 266001.996  6.21%   150  510s
  8983  3384 266001.996  213   16 283621.709 266001.996  6.21%   149  517s
  9037  3438 266001.996  223   16 283621.709 266001.996  6.21%   149  521s
  9118  3513 266001.996  234   16 283621.709 266001.996  6.21%   148  526s
  9172  3567 266001.996  238   14 283621.709 266001.996  6.21%   147  530s
  9277  3664 266001.996  248   18 283621.709 266001.996  6.21%   145  535s
  9336  3717 266001.996  257   16 283621.709 266001.996  6.21%   145  541s
  9401  3770 266001.996  268   24 283621.709 266001.996  6.21%   144  545s
  9444  3805 266001.996  270   24 283621.709 266001.996  6.21%   143  550s
  9526  3881 266001.996  239   32 283621.709 266001.996  6.21%   144  555s
  9610  3951 266001.996  208   36 283621.709 266001.996  6.21%   144  560s
  9685  4026 266001.996  207   32 283621.709 266001.996  6.21%   144  565s
  9742  4074 266001.996  210   31 283621.709 266001.996  6.21%   145  570s
  9771  4094 266001.996  224   18 283621.709 266001.996  6.21%   146  575s
