
Gurobi 12.0.3 (win64) logging started Tue Sep  8 03:52:04 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_482\Costo_variable\Swap_restringido\Swap_variable_3estaciones_160kW_Descomp\station_2_d244_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26932 rows, 54733 columns and 251095 nonzeros
Model fingerprint: 0x67cbb77c
Variable types: 2129 continuous, 52604 integer (19481 binary)
Coefficient statistics:
  Matrix range     [1e+00, 4e+02]
  Objective range  [8e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25549 rows and 45426 columns
Presolve time: 0.19s
Presolved: 1383 rows, 9307 columns, 30359 nonzeros
Variable types: 216 continuous, 9091 integer (8776 binary)
Root relaxation presolved: 1383 rows, 9307 columns, 30359 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.547812e+05, 4150 iterations, 0.07 seconds (0.07 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 12351  6426 266003.001  213   42 283621.709 266001.996  6.21%   211  835s
 12415  6481 266001.996  266   30 283621.709 266001.996  6.21%   212  840s
 12417  6482 275350.744  267   42 283621.709 266001.996  6.21%   212  845s
 12420  6485 266001.996  267   33 283621.709 266001.996  6.21%   212  850s
 12425  6489 275350.744  268   59 283621.709 266001.996  6.21%   212  855s
 12431  6494 266107.406  184   97 283621.709 266001.996  6.21%   213  860s
 12435  6498 266001.996  220   46 283621.709 266001.996  6.21%   213  865s
 12438  6500 266001.996  212   33 283621.709 266001.996  6.21%   213  870s
 12440  6502 266001.996  213   53 283621.709 266001.996  6.21%   213  875s
 12469  6525 266001.996  110   23 283621.709 266001.996  6.21%   213  880s
 12496  6550 267585.028  136   65 283621.709 266001.996  6.21%   214  887s
 12531  6578 266001.996  196   38 283621.709 266001.996  6.21%   214  890s
 12598  6630 266001.996   94   44 283621.709 266001.996  6.21%   216  895s
 12672  6704 270959.325   93   86 283621.709 266001.996  6.21%   217  900s
 12711  6743 266001.996   96   31 283621.709 266001.996  6.21%   218  905s
 12736  6767 266001.996   87   28 283621.709 266001.996  6.21%   218  910s
 12803  6834 266001.996  155   44 283621.709 266001.996  6.21%   221  915s
 12833  6864 266002.092  109   44 283621.709 266001.996  6.21%   222  920s
 12882  6913 267581.453  175   96 283621.709 266001.996  6.21%   223  925s
 12926  6957 266001.996  161   29 283621.709 266001.996  6.21%   225  930s
 12951  6980 275224.406  266   50 283621.709 266001.996  6.21%   226  937s
 12975  7001 266002.997  224   43 283621.709 266001.996  6.21%   227  940s
 13017  7043 266001.996  120   33 283621.709 266001.996  6.21%   228  945s
 13069  7094 266002.092  140   49 283621.709 266001.996  6.21%   230  950s
 13098  7123 266001.996   95   53 283621.709 266001.996  6.21%   231  957s
 13141  7155 266002.955  224   42 283621.709 266001.996  6.21%   231  960s
 13205  7210 273695.477  107   79 283621.709 266001.996  6.21%   233  965s
 13259  7254 267417.221  130   77 283621.709 266001.996  6.21%   234  970s
 13263  7258 266001.996  213   20 283621.709 266001.996  6.21%   234  975s
 13332  7318 266003.416  245   40 283621.709 266001.996  6.21%   235  980s
 13368  7345 266001.996  247   31 283621.709 266001.996  6.21%   236  985s
 13396  7369 266002.654  196   55 283621.709 266001.996  6.21%   236  991s
 13439  7406 266002.092  174   42 283621.709 266001.996  6.21%   237  995s
 13531  7472 275205.615  244   59 283621.709 266001.996  6.21%   238 1000s
