
Gurobi 12.0.3 (win64) logging started Mon Sep  7 23:47:58 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_variable\Swap_libre\Swap_variable_3estaciones_160kW_Descomp\station_2_d335_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26358 rows, 54733 columns and 249676 nonzeros
Model fingerprint: 0x7ba45f82
Variable types: 2129 continuous, 52604 integer (19481 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [4e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 23476 rows and 44287 columns
Presolve time: 0.27s
Presolved: 2882 rows, 10446 columns, 34356 nonzeros
Variable types: 824 continuous, 9622 integer (9084 binary)
Found heuristic solution: objective 546465.97195
Root relaxation presolved: 2882 rows, 10446 columns, 34356 nonzeros


Root relaxation: objective 1.787162e+05, 14007 iterations, 2.00 seconds (2.20 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  1653  1121 179412.938  569   16 288373.180 179412.938  37.8%  52.1  215s
  1706  1174 179412.938   94   12 288373.180 179412.938  37.8%  51.0  220s
  1749  1217 179412.938  617   16 288373.180 179412.938  37.8%  50.2  225s
  1799  1267 179412.938  642   20 288373.180 179412.938  37.8%  49.0  230s
  1844  1312 179412.938  163   20 288373.180 179412.938  37.8%  48.2  235s
  1889  1357 179412.938  687   20 288373.180 179412.938  37.8%  47.4  240s
  1925  1393 179412.938  705   18 288373.180 179412.938  37.8%  46.7  245s
  1969  1437 179412.938  727   14 288373.180 179412.938  37.8%  46.2  250s
  2017  1485 179412.938  751   14 288373.180 179412.938  37.8%  45.6  255s
  2067  1535 179412.938  776   14 288373.180 179412.938  37.8%  44.7  260s
  2121  1589 179412.938  803   20 288373.180 179412.938  37.8%  43.9  265s
  2169  1637 179412.938  827   16 288373.180 179412.938  37.8%  43.0  270s
  2209  1677 179412.938  847   14 288373.180 179412.938  37.8%  42.5  278s
  2222  1690 179412.938  352   18 288373.180 179412.938  37.8%  42.3  280s
  2268  1736 179412.938  375   20 288373.180 179412.938  37.8%  41.7  285s
  2319  1787 179412.938  902   14 288373.180 179412.938  37.8%  40.9  290s
  2369  1837 179412.938  927   16 288373.180 179412.938  37.8%  40.1  295s
  2418  1886 179412.938  450   12 288373.180 179412.938  37.8%  39.4  300s
  2463  1931 179412.938  974   14 288373.180 179412.938  37.8%  39.0  305s
  2508  1976 179412.938  495   22 288373.180 179412.938  37.8%  38.5  310s
  2554  2022 179412.938  518   18 288373.180 179412.938  37.8%  38.1  315s
H 2586  2052                    287578.14043 179412.938  37.6%  37.8  318s
  2598  2066 179412.938  146   12 287578.140 179412.938  37.6%  37.6  320s
  2640  2108 179412.938  167   12 287578.140 179412.938  37.6%  37.2  325s
  2694  2162 179412.938  194   14 287578.140 179412.938  37.6%  36.6  330s
  2756  2224 179412.938  225   16 287578.140 179412.938  37.6%  36.4  335s
  2813  2281 179412.938 1149   11 287578.140 179412.938  37.6%  36.3  340s
  2869  2337 179412.938 1177   13 287578.140 179412.938  37.6%  35.7  345s
  2926  2394 179412.938  310   18 287578.140 179412.938  37.6%  35.3  350s
H 2937  2403                    287574.94716 179412.938  37.6%  35.1  353s
  2954  2422 179412.938  324   18 287574.947 179412.938  37.6%  35.0  355s
  2999  2467 179412.938 1242   11 287574.947 179412.938  37.6%  34.6  360s
  3049  2517 179412.938 1267   13 287574.947 179412.938  37.6%  34.2  365s
  3104  2572 179412.938  399   26 287574.947 179412.938  37.6%  33.8  370s
  3160  2628 179412.938  427   18 287574.947 179412.938  37.6%  33.5  375s
  3207  2675 179412.938  185   18 287574.947 179412.938  37.6%  34.3  380s
  3258  2726 179412.938 1372   18 287574.947 179412.938  37.6%  33.9  385s
  3297  2765 179412.938  230   20 287574.947 179412.938  37.6%  33.8  390s
  3347  2815 179412.938  255   22 287574.947 179412.938  37.6%  33.5  395s
H 3363  2829                    287545.27614 179412.938  37.6%  33.4  398s
  3382  2850 179412.938 1434   14 287545.276 179412.938  37.6%  33.3  400s
  3426  2894 179412.938 1456   14 287545.276 179412.938  37.6%  33.2  405s
  3477  2945 179412.938  320   16 287545.276 179412.938  37.6%  33.1  410s
  3522  2990 179412.938 1504   16 287545.276 179412.938  37.6%  32.7  415s
  3568  3036 179412.938 1527   14 287545.276 179412.938  37.6%  32.5  420s
  3612  3080 179412.938 1549   16 287545.276 179412.938  37.6%  32.3  426s
H 3613  3079                    287538.15953 179412.938  37.6%  32.3  427s
  3615  3083 179412.938  389   18 287538.160 179412.938  37.6%  32.3  430s
  3666  3134 179412.938 1576   16 287538.160 179412.938  37.6%  32.1  435s
  3709  3177 179412.938  436   12 287538.160 179412.938  37.6%  32.1  440s
  3741  3209 179412.938  452   14 287538.160 179412.938  37.6%  32.2  445s
  3781  3249 179412.938  472   14 287538.160 179412.938  37.6%  32.1  450s
  3833  3301 179412.938  498   14 287538.160 179412.938  37.6%  31.8  455s
  3887  3355 179412.938  525   16 287538.160 179412.938  37.6%  31.8  460s
  3936  3404 179412.938 1711   16 287538.160 179412.938  37.6%  31.5  465s
  3979  3447 179412.938  571   16 287538.160 179412.938  37.6%  31.4  470s
  4029  3497 179412.938  596   18 287538.160 179412.938  37.6%  31.2  475s
H 4071  3537                    286565.62207 179412.938  37.4%  30.9  483s
  4071  3539 179412.938  617   14 286565.622 179412.938  37.4%  30.9  488s
  4089  3557 179412.938  626   12 286565.622 179412.938  37.4%  30.9  490s
  4134  3602 179412.938 1810   19 286565.622 179412.938  37.4%  30.7  495s
  4179  3647 179412.938  671   14 286565.622 179412.938  37.4%  30.8  500s
H 4206  3672                    286561.61530 179412.938  37.4%  30.6  503s
  4213  3681 179412.938  688   14 286561.615 179412.938  37.4%  30.6  505s
  4260  3728 179412.938 1873   18 286561.615 179412.938  37.4%  30.5  510s
  4303  3771 179412.938  733   12 286561.615 179412.938  37.4%  30.5  515s
H 4341  3807                    286398.26781 179412.938  37.4%  30.4  519s
  4342  3810 179412.938   72   19 286398.268 179412.938  37.4%  30.4  520s
  4392  3860 179412.938   97   22 286398.268 179412.938  37.4%  30.1  525s
  4439  3907 179412.938  801   18 286398.268 179412.938  37.4%  29.9  530s
  4487  3955 179412.938  825   12 286398.268 179412.938  37.4%  29.8  535s
H 4503  3969                    286049.87523 179412.938  37.3%  29.7  536s
  4533  4001 179412.938  848   18 286049.875 179412.938  37.3%  29.9  540s
  4573  4041 179412.938  868   23 286049.875 179412.938  37.3%  29.9  545s
  4616  4084 179412.938  209   14 286049.875 179412.938  37.3%  29.8  550s
  4651  4119 179412.938  907   20 286049.875 179412.938  37.3%  29.7  555s
  4692  4160 179412.938  297   18 286049.875 179412.938  37.3%  29.5  560s
  4735  4203 179412.938  949   16 286049.875 179412.938  37.3%  29.3  565s
  4773  4241 179412.938  968   20 286049.875 179412.938  37.3%  29.2  570s
  4818  4286 179412.938  360   12 286049.875 179412.938  37.3%  28.9  575s
  4864  4332 179412.938  383   12 286049.875 179412.938  37.3%  28.8  580s
  4908  4376 179412.938  405   12 286049.875 179412.938  37.3%  28.8  585s
  4955  4423 179412.938 1059   22 286049.875 179412.938  37.3%  29.1  590s
  4995  4463 179412.938 1079   18 286049.875 179412.938  37.3%  29.0  595s
  5042  4510 179412.938  472   18 286049.875 179412.938  37.3%  28.9  600s
  5081  4549 179412.938 1122   23 286049.875 179412.938  37.3%  28.8  605s
  5124  4592 179412.938  513   18 286049.875 179412.938  37.3%  28.8  610s
  5172  4640 179412.938  537   14 286049.875 179412.938  37.3%  28.8  615s
