
Gurobi 12.0.3 (win64) logging started Mon Aug 24 00:05:07 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_agosto\Costo_variable\Swap_libre\Swap_variable_3estaciones_320kW_Descomp\station_1_d152_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26359 rows, 53707 columns and 243503 nonzeros
Model fingerprint: 0xe488b42d
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [1e-02, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 23413 rows and 43752 columns
Presolve time: 0.13s
Presolved: 2946 rows, 9955 columns, 32491 nonzeros
Variable types: 824 continuous, 9131 integer (8474 binary)
Root relaxation presolved: 2946 rows, 9955 columns, 32491 nonzeros

Warning: Markowitz tolerance tightened to 0.03125

Root relaxation: objective 2.221018e+05, 15716 iterations, 1.43 seconds (2.43 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  2564  2025 222412.422  145   12 260807.055 222412.422  14.7%   111  275s
  2614  2075 222412.422  164   18 260807.055 222412.422  14.7%   110  282s
  2654  2115 222412.422  146   14 260807.055 222412.422  14.7%   109  285s
  2728  2189 222412.422   98   12 260807.055 222412.422  14.7%   108  290s
  2801  2262 222412.422   97   14 260807.055 222412.422  14.7%   107  295s
  2863  2324 222412.422   97   18 260807.055 222412.422  14.7%   106  300s
  2944  2405 222412.422  112   10 260807.055 222412.422  14.7%   105  305s
  2983  2444 222412.422  122   12 260807.055 222412.422  14.7%   104  310s
  3066  2527 222412.422  144   12 260807.055 222412.422  14.7%   103  315s
  3158  2619 222412.422  170   10 260807.055 222412.422  14.7%   102  320s
  3232  2693 222412.422  194   20 260807.055 222412.422  14.7%   101  325s
  3314  2775 222412.422  221   10 260807.055 222412.422  14.7%   100  330s
  3396  2857 222412.422  234   13 260807.055 222412.422  14.7%  99.4  335s
  3458  2919 222412.422  258   12 260807.055 222412.422  14.7%  98.9  341s
  3499  2960 222412.422  266   16 260807.055 222412.422  14.7%  98.6  345s
  3573  3034 222412.422  273   93 260807.055 222412.422  14.7%  97.9  350s
  3645  3106 222412.422  313   30 260807.055 222412.422  14.7%  97.2  355s
  3723  3184 222412.422  334   20 260807.055 222412.422  14.7%  96.4  360s
  3773  3234 222412.422  352   10 260807.055 222412.422  14.7%  96.0  365s
  3862  3323 222412.422  358   12 260807.055 222412.422  14.7%  95.2  370s
  3939  3400 222412.422  392   18 260807.055 222412.422  14.7%  94.6  375s
  3992  3453 222412.422  405   12 260807.055 222412.422  14.7%  94.2  380s
  4087  3548 222412.422  415   10 260807.055 222412.422  14.7%  93.5  385s
  4172  3633 222412.422  432   12 260807.055 222412.422  14.7%  93.0  390s
  4241  3702 222412.422  423   18 260807.055 222412.422  14.7%  92.6  396s
  4302  3763 222412.422  438   14 260807.055 222412.422  14.7%  91.9  400s
  4387  3848 222412.422  419   10 260807.055 222412.422  14.7%  91.3  405s
H 4483  3942                    260535.52839 222412.422  14.6%  90.8  409s
  4485  3946 222412.422  421   20 260535.528 222412.422  14.6%  90.8  410s
  4598  4059 222412.422  430   16 260535.528 222412.422  14.6%  90.3  415s
  4688  4149 222412.422  439   10 260535.528 222412.422  14.6%  89.8  420s
  4744  4205 222412.422  458   10 260535.528 222412.422  14.6%  89.3  425s
  4818  4279 222412.422  466   10 260535.528 222412.422  14.6%  88.9  430s
