
Gurobi 12.0.3 (win64) logging started Mon Sep  7 02:22:26 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_482\Costo_variable\Swap_restringido\Swap_variable_3estaciones_320kW_Descomp\station_1_d121_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26902 rows, 53707 columns and 244558 nonzeros
Model fingerprint: 0x43483de8
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 4e+02]
  Objective range  [8e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25512 rows and 44919 columns
Presolve time: 0.12s
Presolved: 1390 rows, 8788 columns, 28693 nonzeros
Variable types: 216 continuous, 8572 integer (8166 binary)
Root relaxation presolved: 1390 rows, 8788 columns, 28693 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.166622e+05, 3411 iterations, 0.04 seconds (0.05 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  5394  4854 235936.790  176   11 280390.819 235936.790  15.9%   105  240s
  5547  5007 235936.790  175   13 280390.819 235936.790  15.9%   105  245s
  5685  5145 235936.790  170    9 280390.819 235936.790  15.9%   105  250s
  5838  5298 235936.790  182    9 280390.819 235936.790  15.9%   104  255s
  6016  5476 235936.790  184    9 280390.819 235936.790  15.9%   106  260s
  6169  5629 235936.790  179    9 280390.819 235936.790  15.9%   107  265s
  6274  5734 235936.790  183   17 280390.819 235936.790  15.9%   108  270s
  6452  5912 235936.790  182    9 280390.819 235936.790  15.9%   107  275s
  6559  6017 235936.790  184    9 280390.819 235936.790  15.9%   108  280s
  6712  6170 235936.790  184   18 280390.819 235936.790  15.9%   110  285s
  6893  6351 235936.790  186    9 280390.819 235936.790  15.9%   110  290s
  7015  6473 235936.790  184   20 280390.819 235936.790  15.9%   111  295s
  7168  6626 235936.790  184   15 280390.819 235936.790  15.9%   112  300s
  7290  6748 235936.790  181    9 280390.819 235936.790  15.9%   112  305s
  7445  6903 235936.790  182    9 280390.819 235936.790  15.9%   113  310s
  7604  7062 235936.790  182    9 280390.819 235936.790  15.9%   112  315s
  7795  7253 235936.790  184   15 280390.819 235936.790  15.9%   112  320s
  7929  7387 235936.790  176    9 280390.819 235936.790  15.9%   112  325s
  8094  7550 235936.790  169    9 280390.819 235936.790  15.9%   112  330s
  8265  7721 235936.790  179   17 280390.819 235936.790  15.9%   111  335s
  8380  7836 235936.790  180    9 280390.819 235936.790  15.9%   112  340s
  8526  7982 235936.790  182   16 280390.819 235936.790  15.9%   113  345s
  8702  8158 235936.790  184    9 280390.819 235936.790  15.9%   113  350s
  8778  8234 235936.790  173    9 280390.819 235936.790  15.9%   113  355s
  8961  8415 235936.790  172   11 280390.819 235936.790  15.9%   112  360s
  9126  8580 235936.790  183   16 280390.819 235936.790  15.9%   112  365s
  9293  8747 235936.790  176   15 280390.819 235936.790  15.9%   112  370s
  9444  8898 235936.790  175    9 280390.819 235936.790  15.9%   113  375s
  9624  9078 235936.790  179    9 280390.819 235936.790  15.9%   113  380s
  9789  9243 235936.790  181   33 280390.819 235936.790  15.9%   114  385s
  9863  9317 235936.790  179    9 280390.819 235936.790  15.9%   114  390s
 10029  9483 235936.790  176    9 280390.819 235936.790  15.9%   115  395s
 10188  9642 235936.790  184   25 280390.819 235936.790  15.9%   115  400s
 10335  9789 235936.790  181    9 280390.819 235936.790  15.9%   116  405s
 10497  9951 235936.790  182    9 280390.819 235936.790  15.9%   115  410s
 10651 10105 235936.790  179    9 280390.819 235936.790  15.9%   116  415s
 10768 10222 235936.790  177   13 280390.819 235936.790  15.9%   116  420s
 10948 10402 235936.790  180    9 280390.819 235936.790  15.9%   117  425s
 11100 10554 235936.790  180   11 280390.819 235936.790  15.9%   117  430s
 11175 10629 235936.790  182   25 280390.819 235936.790  15.9%   117  435s
 11364 10818 235936.790  174    9 280390.819 235936.790  15.9%   118  440s
 11549 11003 235936.790  182    9 280390.819 235936.790  15.9%   118  445s
 11726 11180 235936.790  175    9 280390.819 235936.790  15.9%   119  450s
 11883 11337 235936.790  173    9 280390.819 235936.790  15.9%   119  455s
 12066 11520 235936.790  178    9 280390.819 235936.790  15.9%   119  460s
 12242 11696 235936.790  183   32 280390.819 235936.790  15.9%   119  466s
 12360 11814 235936.790  182    9 280390.819 235936.790  15.9%   119  470s
 12549 12003 235936.790  168   11 280390.819 235936.790  15.9%   119  475s
 12720 12174 235936.790  181    9 280390.819 235936.790  15.9%   118  480s
 12908 12362 235936.790  180    9 280390.819 235936.790  15.9%   118  485s
 13028 12482 235936.790  183   11 280390.819 235936.790  15.9%   118  490s
 13199 12653 235936.790  177    9 280390.819 235936.790  15.9%   118  495s
 13245 12699 235936.790  178    9 280390.819 235936.790  15.9%   118  500s
 13264 12718 235936.790  177    9 280390.819 235936.790  15.9%   119  505s
 13278 12732 235936.790  169   11 280390.819 235936.790  15.9%   119  513s
 13284 12738 235936.790  170    9 280390.819 235936.790  15.9%   119  515s
 13302 12756 235936.790  172   13 280390.819 235936.790  15.9%   118  520s
 13318 12772 235936.790  173    9 280390.819 235936.790  15.9%   118  525s
 13332 12786 235936.790  175    9 280390.819 235936.790  15.9%   118  530s
 13361 12815 235936.790  178    9 280390.819 235936.790  15.9%   118  535s
 13494 12948 235936.790  177    9 280390.819 235936.790  15.9%   118  540s
 13565 13019 235936.790  174    7 280390.819 235936.790  15.9%   119  545s
 13712 13166 235936.790  179   14 280390.819 235936.790  15.9%   118  550s
 13875 13329 235936.790  180    9 280390.819 235936.790  15.9%   119  555s
 14034 13488 235936.790  171    9 280390.819 235936.790  15.9%   119  560s
 14158 13612 235936.790  173   13 280390.819 235936.790  15.9%   118  565s
 14304 13758 235936.790  177    9 280390.819 235936.790  15.9%   118  570s
 14391 13845 235936.790  181   18 280390.819 235936.790  15.9%   119  575s
 14530 13984 235936.790  179    9 280390.819 235936.790  15.9%   119  580s
 14676 14130 235936.790  173   11 280390.819 235936.790  15.9%   120  585s
 14803 14257 235936.790  176   13 280390.819 235936.790  15.9%   119  590s
 14925 14379 235936.790  173    9 280390.819 235936.790  15.9%   119  595s
 15078 14532 235936.790  182   16 280390.819 235936.790  15.9%   119  600s
 15169 14623 235936.790  184    9 280390.819 235936.790  15.9%   119  605s
 15298 14752 235936.790  179    9 280390.819 235936.790  15.9%   119  610s
 15440 14894 235936.790  178   13 280390.819 235936.790  15.9%   119  615s
 15596 15050 235936.790  180    9 280390.819 235936.790  15.9%   120  620s
