
Gurobi 12.0.3 (win64) logging started Mon Sep  7 23:47:25 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_variable\Swap_libre\Swap_variable_3estaciones_160kW_Descomp\station_1_d152_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26358 rows, 53707 columns and 244684 nonzeros
Model fingerprint: 0x4f557783
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [1e-02, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 23428 rows and 43752 columns
Presolve time: 0.15s
Presolved: 2930 rows, 9955 columns, 32796 nonzeros
Variable types: 824 continuous, 9131 integer (8568 binary)
Found heuristic solution: objective 600304.35807
Found heuristic solution: objective 562130.28095
Root relaxation presolved: 2930 rows, 9955 columns, 32796 nonzeros


Root relaxation: objective 1.806962e+05, 14706 iterations, 1.42 seconds (2.37 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  1082   868 180926.355   41   95 285003.771 180918.517  36.5%  1041  300s
  1102   881 181221.516   44  190 285003.771 180918.517  36.5%  1058  305s
  1120   893 180918.517   35   68 285003.771 180918.517  36.5%  1062  310s
  1133   902 181163.617   41  143 285003.771 180918.517  36.5%  1061  322s
  1145   910 180918.517   44   55 285003.771 180918.517  36.5%  1060  325s
  1174   929 183397.454   49  191 285003.771 180918.517  36.5%  1053  330s
  1194   943 187671.515   47  231 285003.771 180918.517  36.5%  1061  335s
  1219   959 180918.517   20   87 285003.771 180918.517  36.5%  1054  340s
  1239   973 180918.517   22   64 285003.771 180918.517  36.5%  1050  345s
  1262   988 180918.517   26   93 285003.771 180918.517  36.5%  1049  350s
  1285  1003 180918.517   25   99 285003.771 180918.517  36.5%  1049  355s
  1298  1012 180918.517   27   76 285003.771 180918.517  36.5%  1046  361s
  1315  1023 181459.003   29  160 285003.771 180918.517  36.5%  1046  365s
  1334  1036 181006.018   29  184 285003.771 180918.517  36.5%  1049  370s
  1347  1045 180918.517   32   58 285003.771 180918.517  36.5%  1047  375s
  1360  1053 182072.344   34  202 285003.771 180918.517  36.5%  1049  385s
  1381  1067 189402.306   37  239 285003.771 180918.517  36.5%  1051  390s
  1398  1079 183192.693   37  274 285003.771 180918.517  36.5%  1062  395s
  1413  1089 181386.404   37  189 285003.771 180918.517  36.5%  1070  400s
  1426  1097 182355.786   39  251 285003.771 180918.517  36.5%  1070  405s
  1439  1106 186105.707   36  220 285003.771 180918.517  36.5%  1078  413s
  1444  1109 182591.565   43  254 285003.771 180918.517  36.5%  1081  416s
  1460  1120 186555.914   35  186 285003.771 180918.517  36.5%  1088  420s
  1488  1139 186261.379   43  220 285003.771 180918.517  36.5%  1085  425s
  1515  1157 181527.538   43  192 285003.771 180918.517  36.5%  1087  430s
  1533  1169 186292.691   46  196 285003.771 180918.517  36.5%  1096  435s
H 1549  1151                    284726.73758 180918.517  36.5%  1100  446s
  1551  1155 186117.068   42  217 284726.738 180918.517  36.5%  1103  450s
  1572  1169 180918.517   26   60 284726.738 180918.517  36.5%  1106  455s
  1598  1186 180918.517   26   79 284726.738 180918.517  36.5%  1104  460s
  1622  1202 180918.517   20   77 284726.738 180918.517  36.5%  1100  465s
  1645  1217 180920.968   28  109 284726.738 180918.517  36.5%  1098  470s
  1669  1233 180918.517   25   83 284726.738 180918.517  36.5%  1099  475s
  1692  1249 180918.517   30   92 284726.738 180918.517  36.5%  1098  480s
  1706  1258 181613.605   31  225 284726.738 180918.517  36.5%  1100  485s
  1725  1271 180918.517   34   72 284726.738 180918.517  36.5%  1104  490s
  1731  1275 188332.623   35  162 284726.738 180918.517  36.5%  1106  506s
  1746  1285 180918.517   37   74 284726.738 180918.517  36.5%  1112  510s
  1760  1294 180918.517   37   76 284726.738 180918.517  36.5%  1112  515s
  1777  1305 180926.448   39   81 284726.738 180918.517  36.5%  1118  520s
  1793  1316 181502.421   42  153 284726.738 180918.517  36.5%  1129  525s
H 1804  1297                    284233.09977 180918.517  36.3%  1132  528s
