
Gurobi 12.0.3 (win64) logging started Sun Sep  6 22:59:59 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_variable\Swap_restringido\Swap_variable_3estaciones_320kW_Descomp\station_3_d335_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26872 rows, 53707 columns and 243987 nonzeros
Model fingerprint: 0x2d939c6d
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [4e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25514 rows and 44922 columns
Presolve time: 0.19s
Presolved: 1358 rows, 8785 columns, 27985 nonzeros
Variable types: 216 continuous, 8569 integer (8164 binary)
Root relaxation presolved: 1358 rows, 8785 columns, 27985 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 1.975610e+05, 3783 iterations, 0.06 seconds (0.06 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  4455  3350 198253.364  165   10 322350.271 198253.364  38.5%  48.7  225s
  4623  3468 198253.364  338    9 322350.271 198253.364  38.5%  47.4  230s
  4745  3558 198253.364   66   20 322350.271 198253.364  38.5%  48.8  235s
  4829  3642 198253.364  108   34 322350.271 198253.364  38.5%  48.9  240s
  4885  3698 198253.364  136   29 322350.271 198253.364  38.5%  49.0  245s
  5009  3820 198253.364  198   14 322350.271 198253.364  38.5%  49.4  250s
  5124  3927 198253.364  253   25 322350.271 198253.364  38.5%  49.4  255s
  5292  4079 198253.364   91   20 322350.271 198253.364  38.5%  49.0  260s
  5402  4169 198253.364   55   16 322350.271 198253.364  38.5%  49.2  267s
  5468  4235 198253.364   88   14 322350.271 198253.364  38.5%  48.8  270s
  5574  4331 198253.364  139   15 322350.271 198253.364  38.5%  49.0  275s
  5757  4466 198253.364  100   20 322350.271 198253.364  38.5%  48.5  280s
  5915  4620 198253.364  167   22 322350.271 198253.364  38.5%  47.8  285s
  6064  4767 198253.364  147   20 322350.271 198253.364  38.5%  47.0  290s
  6298  4971 198253.364  259   21 322350.271 198253.364  38.5%  46.1  295s
  6476  5135 198253.364  151   20 322350.271 198253.364  38.5%  45.6  300s
  6602  5257 198253.364  214   16 322350.271 198253.364  38.5%  45.5  305s
  6786  5395 198253.364  326   11 322350.271 198253.364  38.5%  44.7  310s
  7006  5543 198253.364  378   23 322350.271 198253.364  38.5%  43.8  315s
  7179  5688 198253.364  165   13 322350.271 198253.364  38.5%  43.3  320s
H 7229  5720                    322336.09641 198253.364  38.5%  43.1  323s
  7282  5767 198253.364  212   29 322336.096 198253.364  38.5%  43.1  325s
  7516  5943 198253.364  131   35 322336.096 198253.364  38.5%  42.7  330s
  7691  6102 198253.364  284   14 322336.096 198253.364  38.5%  42.8  335s
  7869  6206 198253.364  359   23 322336.096 198253.364  38.5%  43.0  340s
  7971  6292 198253.364  337    9 322336.096 198253.364  38.5%  43.0  345s
  8130  6443 198253.364  243   22 322336.096 198253.364  38.5%  42.7  350s
  8257  6554 198253.364  305   16 322336.096 198253.364  38.5%  43.0  355s
  8399  6652 198253.364  261   20 322336.096 198253.364  38.5%  43.3  360s
  8455  6692 198253.364  285   14 322336.096 198253.364  38.5%  43.8  365s
  8598  6829 198253.364  141   16 322336.096 198253.364  38.5%  44.3  370s
  8703  6932 198253.364   93   28 322336.096 198253.364  38.5%  44.3  375s
  8831  7058 198253.364  103   18 322336.096 198253.364  38.5%  45.0  380s
  9060  7243 198253.364  209   15 322336.096 198253.364  38.5%  44.6  385s
  9222  7373 198253.364  172   39 322336.096 198253.364  38.5%  45.2  390s
  9324  7465 198253.364   64   36 322336.096 198253.364  38.5%  46.6  395s
  9534  7613 198253.364  315   20 322336.096 198253.364  38.5%  46.9  400s
  9684  7717 198253.364  185   13 322336.096 198253.364  38.5%  46.9  405s
  9839  7860 198253.364  232   20 322336.096 198253.364  38.5%  46.7  410s
  9979  7980 198253.364  327   13 322336.096 198253.364  38.5%  47.0  415s
 10056  8051 198253.364   47   24 322336.096 198253.364  38.5%  47.6  420s
 10221  8216 198253.364  109   22 322336.096 198253.364  38.5%  47.1  425s
 10391  8380 198253.364  126   18 322336.096 198253.364  38.5%  47.0  430s
 10640  8575 198253.364  237   15 322336.096 198253.364  38.5%  46.3  435s
 10788  8687 198253.364  303   34 322336.096 198253.364  38.5%  46.4  440s
 10977  8820 198253.364  128   20 322336.096 198253.364  38.5%  46.1  445s
 11147  8968 198253.364  209   17 322336.096 198253.364  38.5%  45.8  450s
 11299  9096 198620.580  281   63 322336.096 198253.364  38.5%  45.8  455s
 11413  9208 198253.364  149   32 322336.096 198253.364  38.5%  45.6  460s
 11565  9352 198253.364  225   13 322336.096 198253.364  38.5%  45.4  465s
 11756  9517 198253.364  355   15 322336.096 198253.364  38.5%  45.3  470s
 11888  9645 198253.364  155   14 322336.096 198253.364  38.5%  45.2  475s
 12047  9800 198253.364  155   11 322336.096 198253.364  38.5%  45.0  480s
 12272  9961 198253.364  351   12 322336.096 198253.364  38.5%  44.7  485s
 12485 10142 198253.364  106   18 322336.096 198253.364  38.5%  44.9  490s
 12586 10231 198253.364  156   18 322336.096 198253.364  38.5%  44.7  495s
 12770 10361 198253.364  367   13 322336.096 198253.364  38.5%  44.8  500s
 12948 10491 198253.364  123   18 322336.096 198253.364  38.5%  44.7  505s
 13084 10623 198253.364  132   22 322336.096 198253.364  38.5%  44.7  510s
 13166 10701 198253.364  330   11 322336.096 198253.364  38.5%  44.8  515s
 13337 10842 198253.364  151   20 322336.096 198253.364  38.5%  44.5  520s
 13497 10980 198253.364  137   34 322336.096 198253.364  38.5%  44.4  525s
 13635 11112 198253.364   97   20 322336.096 198253.364  38.5%  44.9  530s
 13757 11230 198253.364  105   13 322336.096 198253.364  38.5%  45.2  535s
 13975 11402 198253.364  338    9 322336.096 198253.364  38.5%  44.9  540s
 14136 11491 198253.364   91   14 322336.096 198253.364  38.5%  44.6  545s
 14283 11634 198253.364  102   14 322336.096 198253.364  38.5%  44.9  550s
 14415 11762 198253.364  167   25 322336.096 198253.364  38.5%  44.9  555s
 14591 11918 198253.364  252   15 322336.096 198253.364  38.5%  44.8  560s
 14748 12039 198253.364  322   17 322336.096 198253.364  38.5%  44.9  565s
 14974 12189 198253.364  408   31 322336.096 198253.364  38.5%  44.9  570s
 15049 12254 198253.364  113   23 322336.096 198253.364  38.5%  45.2  575s
 15224 12401 198253.364  196   20 322336.096 198253.364  38.5%  45.3  580s
 15379 12534 198253.364  109   24 322336.096 198253.364  38.5%  45.8  585s
 15541 12684 198253.364  189   15 322336.096 198253.364  38.5%  45.8  590s
 15690 12809 198253.364  229   22 322336.096 198253.364  38.5%  46.1  595s
 15793 12888 198253.364  274   20 322336.096 198253.364  38.5%  46.7  600s
 15944 12957 198253.364  330   20 322336.096 198253.364  38.5%  46.6  605s
H15996 12971                    322336.05087 198253.364  38.5%  46.6  608s
 15996 12973 198253.364  347   18 322336.051 198253.364  38.5%  46.6  611s
 16085 13030 198253.364  260   21 322336.051 198253.364  38.5%  46.9  615s
 16203 13124 198253.364   91   22 322336.051 198253.364  38.5%  47.3  620s
 16431 13334 198253.364  160   19 322336.051 198253.364  38.5%  47.1  625s
 16622 13515 198253.364  251   36 322336.051 198253.364  38.5%  47.4  630s
 16800 13595 198253.364  318   20 322336.051 198253.364  38.5%  47.2  635s
 16948 13703 198253.364  341   11 322336.051 198253.364  38.5%  47.3  640s
 17188 13941 198253.364  172   27 322336.051 198253.364  38.5%  46.9  645s
 17421 14122 198253.364  228   15 322336.051 198253.364  38.5%  46.7  650s
 17564 14223 198253.364   58   17 322336.051 198253.364  38.5%  46.7  655s
 17782 14441 198502.961   78   59 322336.051 198253.364  38.5%  46.8  660s
 17882 14537 198253.364  109   17 322336.051 198253.364  38.5%  47.0  665s
 18032 14681 198253.364  149   13 322336.051 198253.364  38.5%  47.1  670s
 18168 14809 198253.364  149   24 322336.051 198253.364  38.5%  47.5  675s
 18318 14953 198253.364   56   17 322336.051 198253.364  38.5%  47.3  680s
 18433 15066 198253.364  113   16 322336.051 198253.364  38.5%  47.4  685s
 18643 15274 198253.364   69   27 322336.051 198253.364  38.5%  47.4  690s
 18899 15526 198253.364  126    8 322336.051 198253.364  38.5%  47.0  695s
 19163 15780 198253.364  151    8 322336.051 198253.364  38.5%  46.6  700s
 19422 16023 198253.364  148    8 322336.051 198253.364  38.5%  46.2  705s
 19578 16173 198253.364  156   12 322336.051 198253.364  38.5%  46.0  710s
 19843 16414 198253.364  122   10 322336.051 198253.364  38.5%  45.6  715s
 20074 16639 198253.364  123    8 322336.051 198253.364  38.5%  45.2  720s
 20321 16886 198253.364  135    8 322336.051 198253.364  38.5%  44.9  725s
 20552 17113 198253.364  155    8 322336.051 198253.364  38.5%  44.6  730s
H20601 17154                    322332.10356 198253.364  38.5%  44.5  731s
 20601 17156 198253.364  155    7 322332.104 198253.364  38.5%  44.5  735s
 20816 17339 198253.364  166    8 322332.104 198253.364  38.5%  44.2  740s
 21032 17545 198253.364  180    8 322332.104 198253.364  38.5%  43.9  745s
H21171 17674                    280479.22238 198253.364  29.3%  43.8  748s
 21235 17731 198253.364  177    7 280479.222 198253.364  29.3%  43.7  750s
 21442 17908 198253.364  175    8 280479.222 198253.364  29.3%  43.5  755s
 21643 18078 198253.364  183   12 280479.222 198253.364  29.3%  43.3  760s
H21738 18150                    280470.74084 198253.364  29.3%  43.3  762s
 21827 18225 198253.364  176    8 280470.741 198253.364  29.3%  43.2  765s
 21986 18354 198253.364  176    7 280470.741 198253.364  29.3%  43.7  770s
H22007 18373                    279842.11150 198253.364  29.2%  44.0  771s
 22054 18417 198253.364  169    8 279842.112 198253.364  29.2%  44.8  775s
 22182 18531 198253.364  155    8 279842.112 198253.364  29.2%  46.4  780s
 22306 18655 198253.364  114   46 279842.112 198253.364  29.2%  48.2  785s
H22348 18695                    279818.83250 198253.364  29.1%  48.7  786s
 22359 18708 198253.364  125   12 279818.833 198253.364  29.1%  48.9  790s
 22478 18827 198253.364  123   12 279818.833 198253.364  29.1%  51.0  795s
 22575 18922 198253.364   92   36 279818.833 198253.364  29.1%  51.7  800s
 22684 19027 198253.364  146   17 279818.833 198253.364  29.1%  52.1  805s
 22845 19180 198253.364  127   10 279818.833 198253.364  29.1%  52.1  810s
 23084 19419 198253.364  150    8 279818.833 198253.364  29.1%  51.7  815s
H23135 19468                    279817.91146 198253.364  29.1%  51.7  816s
 23171 19506 198253.364  157   12 279817.911 198253.364  29.1%  51.6  820s
 23358 19693 198253.364  176   10 279817.911 198253.364  29.1%  51.3  825s
 23574 19909 198253.364  170   18 279817.911 198253.364  29.1%  51.0  830s
 23772 20107 198253.364  157    8 279817.911 198253.364  29.1%  50.7  835s
 23963 20298 198253.364  145   12 279817.911 198253.364  29.1%  50.4  840s
 24143 20478 198253.364  160   10 279817.911 198253.364  29.1%  50.2  845s
 24340 20675 198253.364  181   10 279817.911 198253.364  29.1%  50.0  850s
H24353 20686                    279813.96415 198253.364  29.1%  49.9  850s
H24353 20686                    279811.02391 198253.364  29.1%  49.9  850s
H24353 20686                    279810.03709 198253.364  29.1%  49.9  850s
 24353 20688 198253.364  183   15 279810.037 198253.364  29.1%  49.9  855s
 24519 20854 198253.364  150   43 279810.037 198253.364  29.1%  49.9  860s
 24714 21045 198253.364  238   18 279810.037 198253.364  29.1%  50.0  865s
 24869 21188 198253.364  181   14 279810.037 198253.364  29.1%  50.2  870s
 25009 21302 198253.364  197   20 279810.037 198253.364  29.1%  50.6  875s
 25175 21440 198253.364  196   19 279810.037 198253.364  29.1%  50.9  880s
 25342 21595 198253.364  221   15 279810.037 198253.364  29.1%  51.0  885s
 25516 21762 198253.364  182   26 279810.037 198253.364  29.1%  51.0  890s
 25683 21919 198253.364  150   25 279810.037 198253.364  29.1%  51.2  895s
 25844 22070 198253.364  147   22 279810.037 198253.364  29.1%  51.2  900s
 25982 22192 198253.364  204   15 279810.037 198253.364  29.1%  51.5  905s
 26077 22265 198253.364  159   19 279810.037 198253.364  29.1%  51.9  911s
 26231 22411 198253.364  205   23 279810.037 198253.364  29.1%  51.8  915s
 26436 22606 198253.364  179   16 279810.037 198253.364  29.1%  51.9  920s
 26616 22770 198253.364  170   27 279810.037 198253.364  29.1%  52.0  925s
 26792 22906 198253.364  250   35 279810.037 198253.364  29.1%  51.9  930s
 26946 23033 198253.364  140    8 279810.037 198253.364  29.1%  52.4  935s
 27101 23166 198253.364  175   11 279810.037 198253.364  29.1%  52.5  940s
H27224 23281                    279804.39446 198253.364  29.1%  52.5  945s
 27359 23384 198253.364  297   11 279804.394 198253.364  29.1%  52.5  950s
 27582 23581 198253.364  147   29 279804.394 198253.364  29.1%  52.8  955s
 27818 23811 198253.364  264   18 279804.394 198253.364  29.1%  52.5  960s
 27990 23939 198253.364  144   46 279804.394 198253.364  29.1%  52.8  965s
 28096 24041 198253.364  176   15 279804.394 198253.364  29.1%  53.3  971s
 28308 24213 198253.364  202   18 279804.394 198253.364  29.1%  53.3  975s
 28506 24377 198253.364  166   12 279804.394 198253.364  29.1%  53.3  980s
 28735 24582 198253.364  156   22 279804.394 198253.364  29.1%  53.4  985s
 28888 24719 198253.364  152   31 279804.394 198253.364  29.1%  53.7  990s
 29041 24864 198253.364  160   27 279804.394 198253.364  29.1%  54.2  998s
 29105 24920 198253.364  105   14 279804.394 198253.364  29.1%  54.5 1000s
 29284 25069 198253.364  164   36 279804.394 198253.364  29.1%  54.5 1005s
 29497 25268 198253.364  168   16 279804.394 198253.364  29.1%  54.9 1010s
 29748 25505 198253.364  290   24 279804.394 198253.364  29.1%  54.7 1015s
 29916 25655 198253.364  167   24 279804.394 198253.364  29.1%  55.1 1020s
 30151 25858 198253.364  260   16 279804.394 198253.364  29.1%  55.1 1025s
 30255 25946 198253.364  167   17 279804.394 198253.364  29.1%  55.0 1030s
 30384 26067 198253.364  229   24 279804.394 198253.364  29.1%  55.1 1035s
 30525 26178 198253.364  294   27 279804.394 198253.364  29.1%  55.0 1040s
 30702 26351 198253.364  230   17 279804.394 198253.364  29.1%  55.0 1045s
 30831 26462 198253.364  161   22 279804.394 198253.364  29.1%  55.0 1050s
 31004 26629 198253.364  193   19 279804.394 198253.364  29.1%  54.9 1055s
 31147 26762 198253.364  160   35 279804.394 198253.364  29.1%  55.0 1060s
 31331 26938 198253.364  214   19 279804.394 198253.364  29.1%  55.0 1065s
 31435 27018 198253.364  263   19 279804.394 198253.364  29.1%  54.8 1070s
 31580 27126 198253.364  152   26 279804.394 198253.364  29.1%  54.9 1075s
 31756 27272 198253.364  234   27 279804.394 198253.364  29.1%  54.9 1080s
 31888 27384 198253.364  148   21 279804.394 198253.364  29.1%  55.2 1085s
 32124 27590 198253.364  269   18 279804.394 198253.364  29.1%  55.1 1090s
 32294 27760 198253.364  293    6 279804.394 198253.364  29.1%  55.1 1095s
 32470 27936 198253.364  310    6 279804.394 198253.364  29.1%  54.9 1100s
 32510 27976 198253.364  305    6 279804.394 198253.364  29.1%  54.9 1105s
 32683 28149 198253.364  301    8 279804.394 198253.364  29.1%  54.8 1110s
 32849 28315 198253.364  302    8 279804.394 198253.364  29.1%  54.7 1115s
 32995 28461 198253.364  299    6 279804.394 198253.364  29.1%  54.7 1120s
 33190 28656 198253.364  300    6 279804.394 198253.364  29.1%  54.5 1125s
 33366 28832 198253.364  314    8 279804.394 198253.364  29.1%  54.5 1130s
 33533 28999 198253.364  306    8 279804.394 198253.364  29.1%  54.4 1135s
 33723 29187 198253.364  305    8 279804.394 198253.364  29.1%  54.3 1140s
 33792 29256 198253.364  292    6 279804.394 198253.364  29.1%  54.2 1145s
 33962 29426 198253.364  304    8 279804.394 198253.364  29.1%  54.1 1150s
 34168 29632 198253.364  307    8 279804.394 198253.364  29.1%  54.0 1155s
 34365 29829 198253.364  300    6 279804.394 198253.364  29.1%  53.9 1160s
 34572 30036 198253.364  306    8 279804.394 198253.364  29.1%  53.8 1165s
 34764 30228 198253.364  302   10 279804.394 198253.364  29.1%  53.7 1170s
 34930 30394 198253.364  298    6 279804.394 198253.364  29.1%  53.6 1175s
 35121 30585 198253.364  302   10 279804.394 198253.364  29.1%  53.5 1180s
 35244 30708 198253.364  301    6 279804.394 198253.364  29.1%  53.5 1185s
 35445 30909 198253.364  293    6 279804.394 198253.364  29.1%  53.3 1190s
 35653 31117 198253.364  302    6 279804.394 198253.364  29.1%  53.3 1195s
 35850 31314 198253.364  297   10 279804.394 198253.364  29.1%  53.2 1200s

Cutting planes:
  Gomory: 11
  Flow cover: 26
  Relax-and-lift: 2

Explored 35851 nodes (1920925 simplex iterations) in 1200.02 seconds (1450.19 work units)
Thread count was 1 (of 32 available processors)

Solution count 10: 279804 279810 279811 ... 322332

Time limit reached
Best objective 2.798043944586e+05, best bound 1.982533643369e+05, gap 29.1457%
