
Gurobi 12.0.3 (win64) logging started Mon Sep  7 00:15:07 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_variable\Swap_restringido\Swap_variable_3estaciones_640kW_Descomp\station_2_d91_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26932 rows, 54733 columns and 248399 nonzeros
Model fingerprint: 0x20af26cd
Variable types: 2129 continuous, 52604 integer (19481 binary)
Coefficient statistics:
  Matrix range     [1e+00, 6e+02]
  Objective range  [1e-02, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25355 rows and 45294 columns
Presolve time: 0.17s
Presolved: 1577 rows, 9439 columns, 29807 nonzeros
Variable types: 216 continuous, 9223 integer (8676 binary)
Root relaxation presolved: 1577 rows, 9439 columns, 29807 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.334233e+05, 4594 iterations, 0.07 seconds (0.07 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  3192  2656 233816.640  168   63 309128.314 233816.640  24.4%  69.5  235s
  3303  2767 233816.640  153   10 309128.314 233816.640  24.4%  68.9  240s
  3384  2848 233816.640  154   20 309128.314 233816.640  24.4%  68.8  246s
  3465  2929 233816.640  141   14 309128.314 233816.640  24.4%  69.0  250s
  3564  3028 233816.640  142   10 309128.314 233816.640  24.4%  67.7  255s
  3669  3133 233816.640  168   22 309128.314 233816.640  24.4%  67.1  260s
  3763  3227 233816.640  160   22 309128.314 233816.640  24.4%  66.1  265s
  3871  3335 233816.640  167   23 309128.314 233816.640  24.4%  65.2  270s
  3951  3415 233816.640  146   17 309128.314 233816.640  24.4%  64.8  275s
  4039  3503 233816.640  153   10 309128.314 233816.640  24.4%  63.8  280s
  4152  3616 233816.640  167   40 309128.314 233816.640  24.4%  63.2  285s
  4258  3722 233816.640  155   10 309128.314 233816.640  24.4%  62.8  290s
H 4369  3831                    309128.31397 233816.640  24.4%  62.5  297s
  4416  3880 233816.640  167   36 309128.314 233816.640  24.4%  63.1  300s
  4520  3984 233816.640  165   10 309128.314 233816.640  24.4%  63.8  305s
  4635  4099 233816.640  143   18 309128.314 233816.640  24.4%  63.3  310s
  4741  4205 233816.640  141   10 309128.314 233816.640  24.4%  62.4  315s
  4849  4313 233816.640  156   19 309128.314 233816.640  24.4%  61.9  320s
  4939  4403 233816.640  121   10 309128.314 233816.640  24.4%  61.5  325s
  5044  4508 233816.640  137   12 309128.314 233816.640  24.4%  61.4  330s
  5155  4619 233816.640  148   20 309128.314 233816.640  24.4%  61.4  335s
  5253  4717 233816.640  148   22 309128.314 233816.640  24.4%  62.0  340s
  5317  4781 233816.640  154   18 309128.314 233816.640  24.4%  61.7  345s
  5425  4889 233816.640  165   10 309128.314 233816.640  24.4%  61.1  350s
  5537  5001 233816.640  165   20 309128.314 233816.640  24.4%  60.8  355s
  5650  5114 233816.640  161   18 309128.314 233816.640  24.4%  61.6  360s
  5760  5224 233816.640  151   10 309128.314 233816.640  24.4%  61.2  365s
  5835  5299 233816.640  161   10 309128.314 233816.640  24.4%  61.4  370s
  5933  5397 233816.640  158   10 309128.314 233816.640  24.4%  61.8  375s
  6040  5504 233816.640  150   22 309128.314 233816.640  24.4%  63.1  380s
  6144  5608 233816.640  148   10 309128.314 233816.640  24.4%  62.9  385s
  6226  5690 233816.640  122   10 309128.314 233816.640  24.4%  62.8  390s
  6343  5807 233816.640  142   10 309128.314 233816.640  24.4%  62.1  395s
  6452  5916 233816.640  136   20 309128.314 233816.640  24.4%  61.9  400s
  6562  6026 233816.640  163   24 309128.314 233816.640  24.4%  61.5  405s
  6640  6104 233816.640  149   22 309128.314 233816.640  24.4%  61.8  410s
  6753  6217 233816.640  149   22 309128.314 233816.640  24.4%  61.3  415s
  6873  6337 233816.640  143   10 309128.314 233816.640  24.4%  60.9  420s
  6967  6431 233816.640  147   20 309128.314 233816.640  24.4%  60.8  425s
  7033  6497 233816.640  134   12 309128.314 233816.640  24.4%  60.6  430s
  7146  6610 233816.640  162   24 309128.314 233816.640  24.4%  60.1  435s
  7256  6720 233816.640  151   20 309128.314 233816.640  24.4%  60.0  440s
  7369  6833 233816.640  158   10 309128.314 233816.640  24.4%  59.8  445s
  7451  6915 233816.640  149   10 309128.314 233816.640  24.4%  59.7  451s
  7531  6995 233816.640  152   10 309128.314 233816.640  24.4%  59.6  455s
  7639  7103 233816.640  159   24 309128.314 233816.640  24.4%  59.2  460s
  7747  7211 233816.640  159   10 309128.314 233816.640  24.4%  58.9  465s
  7855  7319 233816.640  155   18 309128.314 233816.640  24.4%  58.5  470s
  7961  7425 233816.640  144   10 309128.314 233816.640  24.4%  58.5  475s
  8070  7534 233816.640  142   10 309128.314 233816.640  24.4%  58.4  480s
  8116  7580 233816.640  165   10 309128.314 233816.640  24.4%  58.1  488s
  8151  7615 233816.640  141   10 309128.314 233816.640  24.4%  58.2  490s
  8260  7724 233816.640  133   12 309128.314 233816.640  24.4%  58.3  495s
  8369  7833 233816.640  134   24 309128.314 233816.640  24.4%  58.2  500s
  8479  7943 233816.640  146   10 309128.314 233816.640  24.4%  57.9  505s
  8593  8057 233816.640  134   18 309128.314 233816.640  24.4%  57.6  510s
  8706  8170 233816.640  151   24 309128.314 233816.640  24.4%  57.5  515s
  8817  8281 233816.640  160   10 309128.314 233816.640  24.4%  57.4  520s
  8908  8372 233816.640  153   24 309128.314 233816.640  24.4%  57.4  525s
  9011  8475 233816.640  153   18 309128.314 233816.640  24.4%  58.5  530s
  9122  8586 233816.640   70   10 309128.314 233816.640  24.4%  58.7  535s
  9226  8690 233816.640   97   10 309128.314 233816.640  24.4%  58.9  540s
  9333  8797 233816.640  111   12 309128.314 233816.640  24.4%  58.9  545s
  9445  8909 233816.640  123   10 309128.314 233816.640  24.4%  58.9  550s
  9557  9019 233816.640  133   14 309128.314 233816.640  24.4%  58.8  555s
  9671  9131 233816.640  140   10 309128.314 233816.640  24.4%  58.7  560s
  9785  9245 233816.640  154   10 309128.314 233816.640  24.4%  58.8  565s
  9883  9341 233816.640  163   10 309128.314 233816.640  24.4%  59.1  570s
  9995  9453 233816.640  167   24 309128.314 233816.640  24.4%  60.2  575s
 10103  9561 233816.640  173   22 309128.314 233816.640  24.4%  60.7  580s
 10209  9667 233816.640  171   10 309128.314 233816.640  24.4%  61.5  585s
 10318  9776 233816.640  162   10 309128.314 233816.640  24.4%  62.0  590s
 10426  9884 233816.640  168   18 309128.314 233816.640  24.4%  62.8  595s
 10537  9995 233816.640  169   22 309128.314 233816.640  24.4%  63.3  600s
 10583 10041 233816.640  170   12 309128.314 233816.640  24.4%  63.7  605s
 10690 10148 233816.640  159   35 309128.314 233816.640  24.4%  64.6  610s
 10809 10267 233816.640  162   18 309128.314 233816.640  24.4%  64.5  615s
 10906 10364 233816.640  163   22 309128.314 233816.640  24.4%  64.6  620s
