
Gurobi 12.0.3 (win64) logging started Tue Sep  8 00:42:19 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_variable\Swap_restringido\Swap_variable_3estaciones_320kW_Descomp\station_2_d244_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26932 rows, 54733 columns and 249097 nonzeros
Model fingerprint: 0x12a40d09
Variable types: 2129 continuous, 52604 integer (19481 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [8e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25508 rows and 45396 columns
Presolve time: 0.26s
Presolved: 1424 rows, 9337 columns, 29413 nonzeros
Variable types: 216 continuous, 9121 integer (8776 binary)
Found heuristic solution: objective 727447.64774
Root relaxation presolved: 1424 rows, 9337 columns, 29413 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.269519e+05, 4222 iterations, 0.10 seconds (0.08 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  2481  1950 238245.392   82   15 363859.207 238245.392  34.5%  40.4  220s
  2549  2018 238245.392   85   15 363859.207 238245.392  34.5%  40.8  225s
  2607  2076 238245.392   78   15 363859.207 238245.392  34.5%  40.7  230s
  2673  2142 238245.392   54   15 363859.207 238245.392  34.5%  40.2  235s
  2743  2212 238245.392   62   15 363859.207 238245.392  34.5%  39.5  240s
  2805  2274 238245.392   69   15 363859.207 238245.392  34.5%  39.0  245s
H 2828  2295                    363833.31324 238245.392  34.5%  39.1  247s
  2836  2305 238245.392   71   15 363833.313 238245.392  34.5%  39.1  250s
  2899  2368 238245.392   78   15 363833.313 238245.392  34.5%  39.2  255s
  2958  2427 238245.392   77   14 363833.313 238245.392  34.5%  39.4  260s
  3017  2486 238245.392   71   15 363833.313 238245.392  34.5%  40.1  265s
  3077  2546 238245.392   79   15 363833.313 238245.392  34.5%  39.9  270s
  3149  2618 238245.392   70   22 363833.313 238245.392  34.5%  39.7  275s
  3209  2678 238245.392   68   20 363833.313 238245.392  34.5%  39.6  280s
  3270  2739 238245.392   62   17 363833.313 238245.392  34.5%  39.4  285s
  3341  2810 238245.392   68   15 363833.313 238245.392  34.5%  38.9  290s
  3393  2862 238245.392   76   15 363833.313 238245.392  34.5%  38.6  296s
  3434  2903 238245.392   74   16 363833.313 238245.392  34.5%  38.5  300s
  3492  2961 238245.392   81   15 363833.313 238245.392  34.5%  38.4  305s
  3550  3019 238245.392   86   17 363833.313 238245.392  34.5%  38.8  310s
  3608  3077 238245.392   87   38 363833.313 238245.392  34.5%  39.8  315s
  3667  3136 238245.392   66   15 363833.313 238245.392  34.5%  39.5  320s
  3747  3216 238245.392   72   17 363833.313 238245.392  34.5%  39.1  325s
  3819  3288 238245.392   69   17 363833.313 238245.392  34.5%  39.2  330s
  3861  3330 238245.392   74   15 363833.313 238245.392  34.5%  39.0  335s
  3931  3400 238245.392   93   21 363833.313 238245.392  34.5%  39.7  340s
  3984  3453 238245.392   92   15 363833.313 238245.392  34.5%  40.5  345s
  4056  3525 238245.392   85   15 363833.313 238245.392  34.5%  41.2  350s
  4123  3592 238245.392   88   15 363833.313 238245.392  34.5%  41.6  355s
H 4171  3638                    363755.63255 238245.392  34.5%  42.0  358s
  4184  3653 238245.392   71   17 363755.633 238245.392  34.5%  42.1  360s
